model,enter_time_s,class,direction
baseline_count_AA,0,keke,downward
baseline_count_AA,1.6,car,downward
baseline_count_AA,3.2,keke,downward
baseline_count_AA,3.6,keke,downward
baseline_count_AA,4.8,car,downward
baseline_count_AA,7.2,car,downward
baseline_count_AA,7.2,keke,downward
baseline_count_AA,14.4,truck,downward
baseline_count_AA,15.6,keke,downward
baseline_count_AA,19.2,car,downward
baseline_count_AA,19.6,keke,downward
baseline_count_AA,25.2,car,downward
baseline_count_AA,26.8,car,downward
baseline_count_AA,35.2,car,downward
baseline_count_AA,36.6,keke,downward
baseline_count_AA,40.8,keke,downward
baseline_count_AA,42.6,car,downward
baseline_count_AA,43.2,car,downward
baseline_count_AA,44.4,keke,downward
baseline_count_AA,46.8,car,downward
baseline_count_AA,48.8,keke,downward
baseline_count_AA,49.6,keke,downward
baseline_count_AA,51.2,car,downward
baseline_count_AA,52,car,downward
baseline_count_AA,55.2,keke,downward
baseline_count_AA,56,keke,downward
baseline_count_AA,60,car,downward
baseline_count_AA,61.6,car,downward
baseline_count_AA,62.6,keke,downward
baseline_count_AA,65.2,keke,downward
baseline_count_AA,68,bus,downward
baseline_count_AA,72.8,keke,downward
baseline_count_AA,79,keke,downward
baseline_count_AA,85.6,keke,downward
baseline_count_AA,86,y,downward
baseline_count_AA,88.6,keke,downward
baseline_count_AA,97.6,keke,downward
baseline_count_AA,98.6,truck,downward
baseline_count_AA,102.2,car,downward
baseline_count_AA,107.8,keke,downward
baseline_count_AA,110.2,truck,downward
baseline_count_AA,111.6,keke,downward
baseline_count_AA,111.6,car,downward
baseline_count_AA,113.4,truck,downward
baseline_count_AA,113.4,keke,downward
baseline_count_AA,113.6,car,downward
baseline_count_AA,116.4,motorcycle,downward
baseline_count_AA,119.6,car,downward
baseline_count_AA,120.2,car,downward
baseline_count_AA,120.2,car,downward
baseline_count_AA,122,car,downward
baseline_count_AA,122.2,keke,downward
baseline_count_AA,123.8,keke,downward
baseline_count_AA,125.4,keke,downward
baseline_count_AA,128.2,car,downward
baseline_count_AA,130.6,keke,downward
baseline_count_AA,138.4,keke,downward
baseline_count_AA,140.6,car,downward
baseline_count_AA,141.2,keke,downward
baseline_count_AA,142.4,car,downward
baseline_count_AA,143.6,keke,downward
baseline_count_AA,144.4,keke,downward
baseline_count_AA,145.6,keke,downward
baseline_count_AA,152.8,car,downward
baseline_count_AA,155.2,keke,downward
baseline_count_AA,155.8,keke,downward
baseline_count_AA,157.2,car,downward
baseline_count_AA,158.2,keke,downward
baseline_count_AA,159.2,keke,downward
baseline_count_AA,160,keke,downward
baseline_count_AA,168.8,keke,downward
baseline_count_AA,170.6,keke,downward
baseline_count_AA,171.2,keke,downward
baseline_count_AA,171.2,keke,downward
baseline_count_AA,173,keke,downward
baseline_count_AA,173.6,keke,downward
baseline_count_AA,174,keke,downward
baseline_count_AA,174.6,truck,downward
baseline_count_AA,175.8,keke,downward
baseline_count_AA,176.6,car,downward
baseline_count_AA,179.2,car,downward
baseline_count_AA,180,keke,downward
baseline_count_AA,181.6,bus,downward
baseline_count_AA,181.8,keke,downward
baseline_count_AA,183.2,keke,downward
baseline_count_AA,183.4,keke,downward
baseline_count_AA,185.6,car,downward
baseline_count_AA,186,car,downward
baseline_count_AA,190.6,car,downward
baseline_count_AA,192.8,car,downward
baseline_count_AA,194.8,car,downward
baseline_count_AA,196.8,car,downward
baseline_count_AA,198.2,car,downward
baseline_count_AA,199,keke,downward
baseline_count_AA,201.4,keke,downward
baseline_count_AA,202.6,keke,downward
baseline_count_AA,207.2,car,downward
baseline_count_AA,210.8,keke,downward
baseline_count_AA,212.4,keke,downward
baseline_count_AA,216,keke,downward
baseline_count_AA,216.8,truck,downward
baseline_count_AA,219,keke,downward
baseline_count_AA,221.6,car,downward
baseline_count_AA,227.4,keke,downward
baseline_count_AA,228,keke,downward
baseline_count_AA,230.6,car,downward
baseline_count_AA,231.2,keke,downward
baseline_count_AA,234,car,downward
baseline_count_AA,240.4,keke,downward
baseline_count_AA,245,keke,downward
baseline_count_AA,245.8,keke,downward
baseline_count_AA,249.8,car,downward
baseline_count_AA,251.6,car,downward
baseline_count_AA,253.6,car,downward
baseline_count_AA,254,keke,downward
baseline_count_AA,254.2,car,downward
baseline_count_AA,254.6,car,downward
baseline_count_AA,258.8,keke,downward
baseline_count_AA,265.2,keke,downward
baseline_count_AA,267.4,keke,downward
baseline_count_AA,267.8,keke,downward
baseline_count_AA,271,keke,downward
baseline_count_AA,273,car,downward
baseline_count_AA,275.4,keke,downward
baseline_count_AA,276.2,car,downward
baseline_count_AA,277.8,keke,downward
baseline_count_AA,278,truck,downward
baseline_count_AA,278.8,keke,downward
baseline_count_AA,280.6,keke,downward
baseline_count_AA,284,keke,downward
baseline_count_AA,286,keke,downward
baseline_count_AA,287.6,keke,downward
baseline_count_AA,288.6,car,downward
baseline_count_AA,289.4,keke,downward
baseline_count_AA,290.2,car,downward
baseline_count_AA,291,keke,downward
baseline_count_AA,293.4,keke,downward
baseline_count_AA,294.4,truck,downward
baseline_count_AA,294.4,keke,downward
baseline_count_AA,295.2,car,downward
baseline_count_AA,295.8,keke,downward
baseline_count_AA,296,car,downward
baseline_count_AA,296.4,keke,downward
baseline_count_AA,299.4,keke,downward
baseline_count_AA,299.6,keke,downward
baseline_count_AA,301.6,keke,downward
baseline_count_AA,302.2,keke,downward
baseline_count_AA,303,keke,downward
baseline_count_AA,305,keke,downward
baseline_count_AA,305.6,keke,downward
baseline_count_AA,306,keke,downward
baseline_count_AA,306.6,car,downward
baseline_count_AA,307.4,car,downward
baseline_count_AA,310.8,keke,downward
baseline_count_AA,312.6,car,downward
baseline_count_AA,314.4,car,downward
baseline_count_AA,315.6,car,downward
baseline_count_AA,316.4,car,downward
baseline_count_AA,318,keke,downward
baseline_count_AA,322.6,truck,downward
baseline_count_AA,324.2,keke,downward
baseline_count_AA,325.4,keke,downward
baseline_count_AA,327,keke,downward
baseline_count_AA,333.2,car,downward
baseline_count_AA,338.2,keke,downward
baseline_count_AA,339,car,downward
baseline_count_AA,343.4,keke,downward
baseline_count_AA,343.4,keke,downward
baseline_count_AA,348.4,keke,downward
baseline_count_AA,353.8,truck,downward
baseline_count_AA,358.2,car,downward
baseline_count_AA,360.2,keke,downward
baseline_count_AA,361.6,keke,downward
baseline_count_AA,361.8,car,downward
baseline_count_AA,362.8,car,downward
baseline_count_AA,365.4,car,downward
baseline_count_AA,366.4,keke,downward
baseline_count_AA,367.6,keke,downward
baseline_count_AA,370,keke,downward
baseline_count_AA,372.4,keke,downward
baseline_count_AA,373.8,car,downward
baseline_count_AA,377.6,keke,downward
baseline_count_AA,379.6,keke,downward
baseline_count_AA,381.8,bus,downward
baseline_count_AA,384.4,car,downward
baseline_count_AA,384.8,keke,downward
baseline_count_AA,386.8,keke,downward
baseline_count_AA,388.8,car,downward
baseline_count_AA,389.4,keke,downward
baseline_count_AA,389.4,keke,downward
baseline_count_AA,391,keke,downward
baseline_count_AA,393.8,car,downward
baseline_count_AA,396.6,car,downward
baseline_count_AA,398,keke,downward
baseline_count_AA,398.4,car,downward
baseline_count_AA,399,keke,downward
baseline_count_AA,399.8,truck,downward
baseline_count_AA,402.2,keke,downward
baseline_count_AA,403.4,keke,downward
baseline_count_AA,407,keke,downward
baseline_count_AA,407.2,car,downward
baseline_count_AA,412.2,car,downward
baseline_count_AA,412.2,car,downward
baseline_count_AA,414,keke,downward
baseline_count_AA,416.4,car,downward
baseline_count_AA,416.6,car,downward
baseline_count_AA,419.8,truck,downward
baseline_count_AA,419.8,truck,downward
baseline_count_AA,420.2,keke,downward
baseline_count_AA,421,keke,downward
baseline_count_AA,421.6,keke,downward
baseline_count_AA,422.2,keke,downward
baseline_count_AA,422.8,car,downward
baseline_count_AA,423,keke,downward
baseline_count_AA,423.6,car,downward
baseline_count_AA,424.2,motorcycle,downward
baseline_count_AA,424.4,car,downward
baseline_count_AA,424.6,bus,downward
baseline_count_AA,426,car,downward
baseline_count_AA,427,keke,downward
baseline_count_AA,427.2,keke,downward
baseline_count_AA,428.4,keke,downward
baseline_count_AA,430.4,keke,downward
baseline_count_AA,430.8,keke,downward
baseline_count_AA,434.4,keke,downward
baseline_count_AA,434.8,car,downward
baseline_count_AA,436.4,keke,downward
baseline_count_AA,437.4,keke,downward
baseline_count_AA,439,keke,downward
baseline_count_AA,440.6,keke,downward
baseline_count_AA,444.4,car,downward
baseline_count_AA,446.8,keke,downward
baseline_count_AA,446.8,keke,downward
baseline_count_AA,451.8,car,downward
baseline_count_AA,453.8,car,downward
baseline_count_AA,460.2,keke,downward
baseline_count_AA,463.4,car,downward
baseline_count_AA,463.6,car,downward
baseline_count_AA,466.2,keke,downward
baseline_count_AA,467.2,car,downward
baseline_count_AA,467.4,keke,downward
baseline_count_AA,469,truck,downward
baseline_count_AA,470.4,keke,downward
baseline_count_AA,471.2,keke,downward
baseline_count_AA,474.2,keke,downward
baseline_count_AA,477.2,keke,downward
baseline_count_AA,480.6,keke,downward
baseline_count_AA,483.8,keke,downward
baseline_count_AA,487.6,car,downward
baseline_count_AA,490.4,keke,downward
baseline_count_AA,491.4,keke,downward
baseline_count_AA,492.8,bus,downward
baseline_count_AA,493.2,keke,downward
baseline_count_AA,494.2,car,downward
baseline_count_AA,496.4,keke,downward
baseline_count_AA,497.2,car,downward
baseline_count_AA,498.6,keke,downward
baseline_count_AA,502.8,keke,downward
baseline_count_AA,505.2,car,downward
baseline_count_AA,508,car,downward
baseline_count_AA,510.6,keke,downward
baseline_count_AA,511,keke,downward
baseline_count_AA,516.4,car,downward
baseline_count_AA,516.6,keke,downward
baseline_count_AA,517,keke,downward
baseline_count_AA,519.2,keke,downward
baseline_count_AA,519.2,keke,downward
baseline_count_AA,521,car,downward
baseline_count_AA,523.2,car,downward
baseline_count_AA,523.2,keke,downward
baseline_count_AA,525.8,keke,downward
baseline_count_AA,527.6,keke,downward
baseline_count_AA,528.8,keke,downward
baseline_count_AA,533,car,downward
baseline_count_AA,536.8,keke,downward
baseline_count_AA,537.4,truck,downward
baseline_count_AA,541.6,car,downward
baseline_count_AA,541.8,car,downward
baseline_count_AA,544.8,truck,downward
baseline_count_AA,454.2,keke,downward
baseline_count_AA,545.8,keke,downward
baseline_count_AA,547.4,keke,downward
baseline_count_AA,548.2,truck,downward
baseline_count_AA,548.4,truck,downward
baseline_count_AA,549,keke,downward
baseline_count_AA,550,motorcycle,downward
baseline_count_AA,551.6,keke,downward
baseline_count_AA,554.8,keke,downward
baseline_count_AA,555,car,downward
baseline_count_AA,556.4,truck,downward
baseline_count_AA,562.2,keke,downward
baseline_count_AA,562.2,car,downward
baseline_count_AA,562.6,keke,downward
baseline_count_AA,564,keke,downward
baseline_count_AA,564.6,keke,downward
