experiment_key,video_key,model_key,model_display_name,tracker,region_mode,track_id,class,enter_time_s,exit_time_s,duration_s,enter_frame,exit_frame,enter_cx,enter_cy,exit_cx,exit_cy,avg_conf_in_region,max_conf_in_region,frames_in_region
mubi_road__yolo11l_default__botsort__roi,mubi_road,yolo11l_default,YOLO11l default,botsort,roi,6,car,0.0,0.43333333333333335,0.43333333333333335,0,13,1184.504638671875,575.532470703125,1184.9459228515625,561.0126953125,0.57629977281277,0.705724835395813,13
mubi_road__yolo11l_default__botsort__roi,mubi_road,yolo11l_default,YOLO11l default,botsort,roi,8,car,0.0,419.96666666666664,419.96666666666664,0,12599,795.7408447265625,584.8711547851562,795.7408447265625,584.8711547851562,0.516707181930542,0.516707181930542,1
mubi_road__yolo11l_default__botsort__roi,mubi_road,yolo11l_default,YOLO11l default,botsort,roi,9,truck,2.1333333333333333,2.933333333333333,0.7999999999999998,64,88,846.39501953125,561.14111328125,826.3629150390625,598.513916015625,0.4984225531419118,0.6389941573143005,24
mubi_road__yolo11l_default__botsort__roi,mubi_road,yolo11l_default,YOLO11l default,botsort,roi,13,bus,4.133333333333334,4.8,0.6666666666666661,124,144,952.0447387695312,560.6488037109375,943.0118408203125,598.5885009765625,0.3674274727702141,0.552043080329895,20
mubi_road__yolo11l_default__botsort__roi,mubi_road,yolo11l_default,YOLO11l default,botsort,roi,14,truck,0.0,0.26666666666666666,0.26666666666666666,0,8,795.6885375976562,584.8431396484375,791.4871826171875,599.6140747070312,0.48497264832258224,0.5523532032966614,8
mubi_road__yolo11l_default__botsort__roi,mubi_road,yolo11l_default,YOLO11l default,botsort,roi,15,car,1.1,1.9,0.7999999999999998,33,57,1197.4002685546875,597.5244140625,1177.2548828125,561.1367797851562,0.3827671304993007,0.570851743221283,23
mubi_road__yolo11l_default__botsort__roi,mubi_road,yolo11l_default,YOLO11l default,botsort,roi,17,car,7.3,8.133333333333333,0.833333333333333,219,244,921.84033203125,560.9427490234375,903.179443359375,599.8477783203125,0.8636370754241943,0.8870419263839722,25
mubi_road__yolo11l_default__botsort__roi,mubi_road,yolo11l_default,YOLO11l default,botsort,roi,19,truck,1.5,2.2333333333333334,0.7333333333333334,45,67,938.4462890625,560.9573974609375,924.6630859375,597.716796875,0.42839069122617895,0.5315682291984558,22
mubi_road__yolo11l_default__botsort__roi,mubi_road,yolo11l_default,YOLO11l default,botsort,roi,20,truck,0.1,419.96666666666664,419.8666666666666,3,12599,795.5322265625,591.912841796875,795.5322265625,591.912841796875,0.3463711440563202,0.3463711440563202,1
mubi_road__yolo11l_default__botsort__roi,mubi_road,yolo11l_default,YOLO11l default,botsort,roi,38,car,1.1,419.96666666666664,418.8666666666666,33,12599,1269.6241455078125,599.641357421875,1273.968994140625,598.702880859375,0.573968642950058,0.6994829773902893,15
mubi_road__yolo11l_default__botsort__roi,mubi_road,yolo11l_default,YOLO11l default,botsort,roi,51,truck,4.966666666666667,5.633333333333334,0.666666666666667,149,169,850.109619140625,561.6517333984375,826.1535034179688,597.7011108398438,0.4231283929612901,0.6735495328903198,18
mubi_road__yolo11l_default__botsort__roi,mubi_road,yolo11l_default,YOLO11l default,botsort,roi,92,car,4.1,5.1,1.0,123,153,1165.153564453125,599.755615234375,1149.44970703125,560.2740478515625,0.7135215401649475,0.7752732038497925,30
mubi_road__yolo11l_default__botsort__roi,mubi_road,yolo11l_default,YOLO11l default,botsort,roi,94,car,1.8,419.96666666666664,418.16666666666663,54,12599,931.8600463867188,574.7268676757812,925.9668579101562,592.9889526367188,0.372060550884767,0.49689704179763794,11
mubi_road__yolo11l_default__botsort__roi,mubi_road,yolo11l_default,YOLO11l default,botsort,roi,115,truck,2.1666666666666665,419.96666666666664,417.79999999999995,65,12599,845.8511352539062,562.636474609375,844.8922119140625,563.755859375,0.4156781733036041,0.4654413163661957,2
mubi_road__yolo11l_default__botsort__roi,mubi_road,yolo11l_default,YOLO11l default,botsort,roi,126,truck,8.7,9.633333333333333,0.9333333333333336,261,289,864.3472290039062,561.2054443359375,844.692138671875,599.9139404296875,0.4624165649767275,0.6650288701057434,27
mubi_road__yolo11l_default__botsort__roi,mubi_road,yolo11l_default,YOLO11l default,botsort,roi,127,car,2.4,419.96666666666664,417.56666666666666,72,12599,840.4483032226562,572.2839965820312,836.7894287109375,579.2115478515625,0.4296901702880859,0.46016716957092285,5
mubi_road__yolo11l_default__botsort__roi,mubi_road,yolo11l_default,YOLO11l default,botsort,roi,136,truck,2.6333333333333333,419.96666666666664,417.3333333333333,79,12599,834.1800537109375,584.3426513671875,834.1800537109375,584.3426513671875,0.4077165424823761,0.4077165424823761,1
mubi_road__yolo11l_default__botsort__roi,mubi_road,yolo11l_default,YOLO11l default,botsort,roi,138,truck,2.7333333333333334,419.96666666666664,417.2333333333333,82,12599,830.91064453125,589.9024658203125,830.4210815429688,591.2120971679688,0.34733307361602783,0.3659645915031433,2
