experiment_key,video_key,model_key,model_display_name,tracker,region_mode,track_id,class,enter_time_s,exit_time_s,duration_s,enter_frame,exit_frame,enter_cx,enter_cy,exit_cx,exit_cy,avg_conf_in_region,max_conf_in_region,frames_in_region
mubi_road__yolo11l_tuned__bytetrack__roi,mubi_road,yolo11l_tuned,YOLO11l tuned,bytetrack,roi,2,car,1.0666666666666667,1.8666666666666667,0.8,32,56,1198.7548828125,599.4554443359375,1178.1273193359375,560.9114990234375,0.652025523285071,0.7340331673622131,24
mubi_road__yolo11l_tuned__bytetrack__roi,mubi_road,yolo11l_tuned,YOLO11l tuned,bytetrack,roi,3,car,0.0,0.4,0.4,0,12,1184.81689453125,574.877685546875,1187.770751953125,561.8112182617188,0.7019051313400269,0.7444751858711243,12
mubi_road__yolo11l_tuned__bytetrack__roi,mubi_road,yolo11l_tuned,YOLO11l tuned,bytetrack,roi,4,truck,1.5,2.2333333333333334,0.7333333333333334,45,67,938.861083984375,561.74609375,925.1644897460938,599.2755126953125,0.6286106322492871,0.7573087811470032,21
mubi_road__yolo11l_tuned__bytetrack__roi,mubi_road,yolo11l_tuned,YOLO11l tuned,bytetrack,roi,8,car,7.3,8.133333333333333,0.833333333333333,219,244,921.7802734375,560.9566650390625,902.9380493164062,599.1165161132812,0.8757881236076355,0.8915622234344482,25
mubi_road__yolo11l_tuned__bytetrack__roi,mubi_road,yolo11l_tuned,YOLO11l tuned,bytetrack,roi,9,truck,2.1,2.933333333333333,0.833333333333333,63,88,847.9053955078125,561.3699340820312,826.009521484375,599.118408203125,0.46226300234379974,0.682928204536438,23
mubi_road__yolo11l_tuned__bytetrack__roi,mubi_road,yolo11l_tuned,YOLO11l tuned,bytetrack,roi,20,truck,0.16666666666666666,0.26666666666666666,0.1,5,8,792.6622924804688,597.1954345703125,791.1682739257812,599.44189453125,0.4019915759563446,0.5445180535316467,3
mubi_road__yolo11l_tuned__bytetrack__roi,mubi_road,yolo11l_tuned,YOLO11l tuned,bytetrack,roi,59,car,1.2333333333333334,419.96666666666664,418.7333333333333,37,12599,1270.781982421875,596.8702392578125,1271.2010498046875,597.689697265625,0.33151988983154296,0.43068718910217285,5
mubi_road__yolo11l_tuned__bytetrack__roi,mubi_road,yolo11l_tuned,YOLO11l tuned,bytetrack,roi,91,keke,4.1,5.1,1.0,123,153,1165.798583984375,599.5540771484375,1149.4921875,560.292724609375,0.6459984878698984,0.7039111852645874,30
mubi_road__yolo11l_tuned__bytetrack__roi,mubi_road,yolo11l_tuned,YOLO11l tuned,bytetrack,roi,92,keke,4.933333333333334,5.733333333333333,0.7999999999999998,148,172,851.2517700195312,560.334716796875,831.2646484375,592.3413696289062,0.643477299147182,0.8169851303100586,18
mubi_road__yolo11l_tuned__bytetrack__roi,mubi_road,yolo11l_tuned,YOLO11l tuned,bytetrack,roi,93,keke,2.7333333333333334,419.96666666666664,417.2333333333333,82,12599,831.677978515625,590.4185180664062,831.677978515625,590.4185180664062,0.32981613278388977,0.32981613278388977,1
mubi_road__yolo11l_tuned__bytetrack__roi,mubi_road,yolo11l_tuned,YOLO11l tuned,bytetrack,roi,100,truck,4.133333333333334,4.766666666666667,0.6333333333333329,124,143,953.0408935546875,561.4056396484375,945.655517578125,598.7099609375,0.6510579162522366,0.7650464177131653,19
mubi_road__yolo11l_tuned__bytetrack__roi,mubi_road,yolo11l_tuned,YOLO11l tuned,bytetrack,roi,108,car,6.566666666666666,7.833333333333333,1.2666666666666666,197,235,1207.849853515625,599.3541259765625,1177.26904296875,560.2279052734375,0.609600156545639,0.7818779349327087,36
mubi_road__yolo11l_tuned__bytetrack__roi,mubi_road,yolo11l_tuned,YOLO11l tuned,bytetrack,roi,128,car,4.3,5.4,1.1000000000000005,129,162,1250.29248046875,596.1692504882812,1236.64501953125,560.505859375,0.4499333128333092,0.5802919268608093,32
