experiment_key,video_key,model_key,model_display_name,tracker,region_mode,track_id,class,enter_time_s,exit_time_s,duration_s,enter_frame,exit_frame,enter_cx,enter_cy,exit_cx,exit_cy,avg_conf_in_region,max_conf_in_region,frames_in_region
mubi_road__yolo26l_default__bytetrack__roi,mubi_road,yolo26l_default,YOLO26l default,bytetrack,roi,10,truck,1.5666666666666667,2.2666666666666666,0.7,47,68,937.134521484375,563.7167358398438,929.3161010742188,583.1956787109375,0.27409112453460693,0.2849998474121094,6
mubi_road__yolo26l_default__bytetrack__roi,mubi_road,yolo26l_default,YOLO26l default,bytetrack,roi,11,car,7.3,8.133333333333333,0.833333333333333,219,244,921.8546142578125,560.9856567382812,903.0283203125,599.4487915039062,0.7502158641815185,0.8139283061027527,25
mubi_road__yolo26l_default__bytetrack__roi,mubi_road,yolo26l_default,YOLO26l default,bytetrack,roi,32,bus,2.466666666666667,3.033333333333333,0.5666666666666664,74,91,838.7020874023438,576.7149658203125,835.287353515625,583.86865234375,0.36512182652950287,0.5056018829345703,4
mubi_road__yolo26l_default__bytetrack__roi,mubi_road,yolo26l_default,YOLO26l default,bytetrack,roi,25,bus,4.766666666666667,5.033333333333333,0.2666666666666666,143,151,943.7263793945312,597.9788208007812,943.7263793945312,597.9788208007812,0.29209476709365845,0.29209476709365845,1
mubi_road__yolo26l_default__bytetrack__roi,mubi_road,yolo26l_default,YOLO26l default,bytetrack,roi,66,car,6.6,7.866666666666666,1.2666666666666666,198,236,1206.401611328125,599.6104125976562,1175.59130859375,560.232177734375,0.5999502672960884,0.7581691145896912,38
mubi_road__yolo26l_default__bytetrack__roi,mubi_road,yolo26l_default,YOLO26l default,bytetrack,roi,68,car,4.566666666666666,5.1,0.5333333333333332,137,153,1155.45654296875,580.9820556640625,1149.7064208984375,560.2303466796875,0.3277489932683798,0.4142891466617584,13
mubi_road__yolo26l_default__bytetrack__roi,mubi_road,yolo26l_default,YOLO26l default,bytetrack,roi,100,truck,7.133333333333334,419.96666666666664,412.8333333333333,214,12599,1193.4141845703125,580.877685546875,1190.43603515625,578.48876953125,0.4588340297341347,0.5294848084449768,4
mubi_road__yolo26l_default__bytetrack__roi,mubi_road,yolo26l_default,YOLO26l default,bytetrack,roi,101,car,13.1,14.133333333333333,1.0333333333333332,393,424,911.038330078125,560.2561645507812,893.7857055664062,599.6004638671875,0.7603357261227023,0.8476803302764893,31
mubi_road__yolo26l_default__bytetrack__roi,mubi_road,yolo26l_default,YOLO26l default,bytetrack,roi,116,car,14.133333333333333,15.133333333333333,1.0,424,454,821.4344482421875,560.8621826171875,787.6224365234375,599.004638671875,0.6640391270319621,0.8005185723304749,30
mubi_road__yolo26l_default__bytetrack__roi,mubi_road,yolo26l_default,YOLO26l default,bytetrack,roi,191,car,33.43333333333333,41.333333333333336,7.900000000000006,1003,1240,1253.544921875,560.2457275390625,1256.796142578125,561.1231079101562,0.4791141628461369,0.7717280983924866,236
mubi_road__yolo26l_default__bytetrack__roi,mubi_road,yolo26l_default,YOLO26l default,bytetrack,roi,197,truck,20.066666666666666,20.766666666666666,0.6999999999999993,602,623,833.515625,575.3273315429688,818.0907592773438,596.8833618164062,0.29722915093104046,0.34005507826805115,12
mubi_road__yolo26l_default__bytetrack__roi,mubi_road,yolo26l_default,YOLO26l default,bytetrack,roi,202,truck,23.333333333333332,23.966666666666665,0.6333333333333329,700,719,853.7955322265625,579.6148681640625,853.7955322265625,579.6148681640625,0.30323365330696106,0.30323365330696106,1
