experiment_key,plot_label,video_key,scene,architecture,variant,tracker,region_mode,direction,class,predicted_count,manual_count,signed_error,abs_error,pct_error,abs_pct_error,count_accuracy,min_duration_s,max_duration_s,min_avg_conf
mubi_road__yolo11l_default__botsort__full_frame,YOLO11l default | botsort | Full frame,mubi_road,"evening, higher congestion, cloudy / low visibility",YOLO11l,default,botsort,full_frame,downward,bus,5,1,4,4,400.0,400.0,0.0,0.15,10.0,0.4
mubi_road__yolo11l_default__botsort__full_frame,YOLO11l default | botsort | Full frame,mubi_road,"evening, higher congestion, cloudy / low visibility",YOLO11l,default,botsort,full_frame,downward,car,0,35,-35,35,-100.0,100.0,0.0,0.15,10.0,0.4
mubi_road__yolo11l_default__botsort__full_frame,YOLO11l default | botsort | Full frame,mubi_road,"evening, higher congestion, cloudy / low visibility",YOLO11l,default,botsort,full_frame,downward,keke,0,156,-156,156,-100.0,100.0,0.0,0.15,10.0,0.4
mubi_road__yolo11l_default__botsort__full_frame,YOLO11l default | botsort | Full frame,mubi_road,"evening, higher congestion, cloudy / low visibility",YOLO11l,default,botsort,full_frame,downward,truck,0,2,-2,2,-100.0,100.0,0.0,0.15,10.0,0.4
mubi_road__yolo11l_default__botsort__full_frame,YOLO11l default | botsort | Full frame,mubi_road,"evening, higher congestion, cloudy / low visibility",YOLO11l,default,botsort,full_frame,upward,bus,1,0,1,1,,,,0.15,10.0,0.4
mubi_road__yolo11l_default__botsort__full_frame,YOLO11l default | botsort | Full frame,mubi_road,"evening, higher congestion, cloudy / low visibility",YOLO11l,default,botsort,full_frame,upward,car,6,17,-11,11,-64.70588235294117,64.70588235294117,0.3529411764705882,0.15,10.0,0.4
mubi_road__yolo11l_default__botsort__full_frame,YOLO11l default | botsort | Full frame,mubi_road,"evening, higher congestion, cloudy / low visibility",YOLO11l,default,botsort,full_frame,upward,keke,0,120,-120,120,-100.0,100.0,0.0,0.15,10.0,0.4
mubi_road__yolo11l_default__botsort__full_frame,YOLO11l default | botsort | Full frame,mubi_road,"evening, higher congestion, cloudy / low visibility",YOLO11l,default,botsort,full_frame,upward,truck,1,5,-4,4,-80.0,80.0,0.19999999999999996,0.15,10.0,0.4
mubi_road__yolo11l_default__botsort__roi,YOLO11l default | botsort | ROI,mubi_road,"evening, higher congestion, cloudy / low visibility",YOLO11l,default,botsort,roi,downward,bus,50,1,49,49,4900.0,4900.0,0.0,0.15,10.0,0.4
mubi_road__yolo11l_default__botsort__roi,YOLO11l default | botsort | ROI,mubi_road,"evening, higher congestion, cloudy / low visibility",YOLO11l,default,botsort,roi,downward,car,91,35,56,56,160.0,160.0,0.0,0.15,10.0,0.4
mubi_road__yolo11l_default__botsort__roi,YOLO11l default | botsort | ROI,mubi_road,"evening, higher congestion, cloudy / low visibility",YOLO11l,default,botsort,roi,downward,keke,0,156,-156,156,-100.0,100.0,0.0,0.15,10.0,0.4
mubi_road__yolo11l_default__botsort__roi,YOLO11l default | botsort | ROI,mubi_road,"evening, higher congestion, cloudy / low visibility",YOLO11l,default,botsort,roi,downward,truck,55,2,53,53,2650.0,2650.0,0.0,0.15,10.0,0.4
mubi_road__yolo11l_default__botsort__roi,YOLO11l default | botsort | ROI,mubi_road,"evening, higher congestion, cloudy / low visibility",YOLO11l,default,botsort,roi,upward,bus,2,0,2,2,,,,0.15,10.0,0.4
mubi_road__yolo11l_default__botsort__roi,YOLO11l default | botsort | ROI,mubi_road,"evening, higher congestion, cloudy / low visibility",YOLO11l,default,botsort,roi,upward,car,133,17,116,116,682.3529411764706,682.3529411764706,0.0,0.15,10.0,0.4
mubi_road__yolo11l_default__botsort__roi,YOLO11l default | botsort | ROI,mubi_road,"evening, higher congestion, cloudy / low visibility",YOLO11l,default,botsort,roi,upward,keke,0,120,-120,120,-100.0,100.0,0.0,0.15,10.0,0.4
mubi_road__yolo11l_default__botsort__roi,YOLO11l default | botsort | ROI,mubi_road,"evening, higher congestion, cloudy / low visibility",YOLO11l,default,botsort,roi,upward,truck,14,5,9,9,180.0,180.0,0.0,0.15,10.0,0.4
mubi_road__yolo11l_default__bytetrack__full_frame,YOLO11l default | bytetrack | Full frame,mubi_road,"evening, higher congestion, cloudy / low visibility",YOLO11l,default,bytetrack,full_frame,downward,bus,5,1,4,4,400.0,400.0,0.0,0.15,10.0,0.4
mubi_road__yolo11l_default__bytetrack__full_frame,YOLO11l default | bytetrack | Full frame,mubi_road,"evening, higher congestion, cloudy / low visibility",YOLO11l,default,bytetrack,full_frame,downward,car,0,35,-35,35,-100.0,100.0,0.0,0.15,10.0,0.4
mubi_road__yolo11l_default__bytetrack__full_frame,YOLO11l default | bytetrack | Full frame,mubi_road,"evening, higher congestion, cloudy / low visibility",YOLO11l,default,bytetrack,full_frame,downward,keke,0,156,-156,156,-100.0,100.0,0.0,0.15,10.0,0.4
mubi_road__yolo11l_default__bytetrack__full_frame,YOLO11l default | bytetrack | Full frame,mubi_road,"evening, higher congestion, cloudy / low visibility",YOLO11l,default,bytetrack,full_frame,downward,truck,1,2,-1,1,-50.0,50.0,0.5,0.15,10.0,0.4
mubi_road__yolo11l_default__bytetrack__full_frame,YOLO11l default | bytetrack | Full frame,mubi_road,"evening, higher congestion, cloudy / low visibility",YOLO11l,default,bytetrack,full_frame,upward,bus,2,0,2,2,,,,0.15,10.0,0.4
mubi_road__yolo11l_default__bytetrack__full_frame,YOLO11l default | bytetrack | Full frame,mubi_road,"evening, higher congestion, cloudy / low visibility",YOLO11l,default,bytetrack,full_frame,upward,car,11,17,-6,6,-35.294117647058826,35.294117647058826,0.6470588235294117,0.15,10.0,0.4
mubi_road__yolo11l_default__bytetrack__full_frame,YOLO11l default | bytetrack | Full frame,mubi_road,"evening, higher congestion, cloudy / low visibility",YOLO11l,default,bytetrack,full_frame,upward,keke,0,120,-120,120,-100.0,100.0,0.0,0.15,10.0,0.4
