experiment_key,plot_label,video_key,scene,architecture,variant,tracker,region_mode,direction,manual_total,abs_error_total,overall_wape,macro_abs_pct_error,macro_event_f1,keke_f1,processing_fps
mubi_road__yolo11l_default__botsort__full_frame,YOLO11l default | botsort | Full frame,mubi_road,"evening, higher congestion, cloudy / low visibility",YOLO11l,default,botsort,full_frame,downward,194,197,1.0154639175257731,175.0,,,52.86588168350354
mubi_road__yolo11l_default__botsort__full_frame,YOLO11l default | botsort | Full frame,mubi_road,"evening, higher congestion, cloudy / low visibility",YOLO11l,default,botsort,full_frame,upward,142,136,0.9577464788732394,81.56862745098039,,,52.86588168350354
mubi_road__yolo11l_default__botsort__roi,YOLO11l default | botsort | ROI,mubi_road,"evening, higher congestion, cloudy / low visibility",YOLO11l,default,botsort,roi,downward,194,314,1.6185567010309279,1952.5,0.1993709764607597,,53.13646757426256
mubi_road__yolo11l_default__botsort__roi,YOLO11l default | botsort | ROI,mubi_road,"evening, higher congestion, cloudy / low visibility",YOLO11l,default,botsort,roi,upward,142,247,1.7394366197183098,320.7843137254902,0.16596491228070173,,53.13646757426256
mubi_road__yolo11l_default__bytetrack__full_frame,YOLO11l default | bytetrack | Full frame,mubi_road,"evening, higher congestion, cloudy / low visibility",YOLO11l,default,bytetrack,full_frame,downward,194,196,1.0103092783505154,162.5,,,87.43452802021616
mubi_road__yolo11l_default__bytetrack__full_frame,YOLO11l default | bytetrack | Full frame,mubi_road,"evening, higher congestion, cloudy / low visibility",YOLO11l,default,bytetrack,full_frame,upward,142,132,0.9295774647887324,71.76470588235294,,,87.43452802021616
mubi_road__yolo11l_default__bytetrack__roi,YOLO11l default | bytetrack | ROI,mubi_road,"evening, higher congestion, cloudy / low visibility",YOLO11l,default,bytetrack,roi,downward,194,319,1.6443298969072164,1881.0714285714287,0.28304858839209984,,87.60965324466592
mubi_road__yolo11l_default__bytetrack__roi,YOLO11l default | bytetrack | ROI,mubi_road,"evening, higher congestion, cloudy / low visibility",YOLO11l,default,bytetrack,roi,upward,142,240,1.6901408450704225,315.29411764705884,0.2149966821499668,,87.60965324466592
mubi_road__yolo11l_tuned__botsort__full_frame,YOLO11l tuned | botsort | Full frame,mubi_road,"evening, higher congestion, cloudy / low visibility",YOLO11l,tuned,botsort,full_frame,downward,194,187,0.9639175257731959,71.42857142857143,0.049999999999999996,,55.367970656838445
mubi_road__yolo11l_tuned__botsort__full_frame,YOLO11l tuned | botsort | Full frame,mubi_road,"evening, higher congestion, cloudy / low visibility",YOLO11l,tuned,botsort,full_frame,upward,142,134,0.9436619718309859,79.6078431372549,,,55.367970656838445
mubi_road__yolo11l_tuned__botsort__roi,YOLO11l tuned | botsort | ROI,mubi_road,"evening, higher congestion, cloudy / low visibility",YOLO11l,tuned,botsort,roi,downward,194,271,1.3969072164948453,593.9377289377289,0.22583565922381713,0.1931818181818182,56.099272316378574
mubi_road__yolo11l_tuned__botsort__roi,YOLO11l tuned | botsort | ROI,mubi_road,"evening, higher congestion, cloudy / low visibility",YOLO11l,tuned,botsort,roi,upward,142,206,1.4507042253521127,250.5228758169935,0.21791044776119403,0.2571428571428572,56.099272316378574
mubi_road__yolo11l_tuned__bytetrack__full_frame,YOLO11l tuned | bytetrack | Full frame,mubi_road,"evening, higher congestion, cloudy / low visibility",YOLO11l,tuned,bytetrack,full_frame,downward,194,186,0.9587628865979382,82.5,0.04761904761904761,,95.05533812465212
mubi_road__yolo11l_tuned__bytetrack__full_frame,YOLO11l tuned | bytetrack | Full frame,mubi_road,"evening, higher congestion, cloudy / low visibility",YOLO11l,tuned,bytetrack,full_frame,upward,142,130,0.9154929577464789,75.13071895424837,,,95.05533812465212
