experiment_key,plot_label,video_key,direction,min_avg_conf,min_duration_s,max_duration_s,overall_wape,keke_f1
mubi_road__yolo11l_default__botsort__full_frame,YOLO11l default | botsort | Full frame,mubi_road,downward,0.3,0.0,10.0,1.0103092783505154,
mubi_road__yolo11l_default__botsort__full_frame,YOLO11l default | botsort | Full frame,mubi_road,upward,0.3,0.0,10.0,0.9436619718309859,
mubi_road__yolo11l_default__botsort__full_frame,YOLO11l default | botsort | Full frame,mubi_road,downward,0.3,0.15,10.0,1.0103092783505154,
mubi_road__yolo11l_default__botsort__full_frame,YOLO11l default | botsort | Full frame,mubi_road,upward,0.3,0.15,10.0,0.9436619718309859,
mubi_road__yolo11l_default__botsort__full_frame,YOLO11l default | botsort | Full frame,mubi_road,downward,0.3,0.3,10.0,1.0103092783505154,
mubi_road__yolo11l_default__botsort__full_frame,YOLO11l default | botsort | Full frame,mubi_road,upward,0.3,0.3,10.0,0.9436619718309859,
mubi_road__yolo11l_default__botsort__full_frame,YOLO11l default | botsort | Full frame,mubi_road,downward,0.3,0.5,10.0,1.0103092783505154,
mubi_road__yolo11l_default__botsort__full_frame,YOLO11l default | botsort | Full frame,mubi_road,upward,0.3,0.5,10.0,0.9436619718309859,
mubi_road__yolo11l_default__botsort__full_frame,YOLO11l default | botsort | Full frame,mubi_road,downward,0.4,0.0,10.0,1.0154639175257731,
mubi_road__yolo11l_default__botsort__full_frame,YOLO11l default | botsort | Full frame,mubi_road,upward,0.4,0.0,10.0,0.9577464788732394,
mubi_road__yolo11l_default__botsort__full_frame,YOLO11l default | botsort | Full frame,mubi_road,downward,0.4,0.15,10.0,1.0154639175257731,
mubi_road__yolo11l_default__botsort__full_frame,YOLO11l default | botsort | Full frame,mubi_road,upward,0.4,0.15,10.0,0.9577464788732394,
mubi_road__yolo11l_default__botsort__full_frame,YOLO11l default | botsort | Full frame,mubi_road,downward,0.4,0.3,10.0,1.0154639175257731,
mubi_road__yolo11l_default__botsort__full_frame,YOLO11l default | botsort | Full frame,mubi_road,upward,0.4,0.3,10.0,0.9577464788732394,
mubi_road__yolo11l_default__botsort__full_frame,YOLO11l default | botsort | Full frame,mubi_road,downward,0.4,0.5,10.0,1.0154639175257731,
mubi_road__yolo11l_default__botsort__full_frame,YOLO11l default | botsort | Full frame,mubi_road,upward,0.4,0.5,10.0,0.9577464788732394,
mubi_road__yolo11l_default__botsort__full_frame,YOLO11l default | botsort | Full frame,mubi_road,downward,0.5,0.0,10.0,1.0,
mubi_road__yolo11l_default__botsort__full_frame,YOLO11l default | botsort | Full frame,mubi_road,upward,0.5,0.0,10.0,0.9788732394366197,
mubi_road__yolo11l_default__botsort__full_frame,YOLO11l default | botsort | Full frame,mubi_road,downward,0.5,0.15,10.0,1.0,
mubi_road__yolo11l_default__botsort__full_frame,YOLO11l default | botsort | Full frame,mubi_road,upward,0.5,0.15,10.0,0.9788732394366197,
mubi_road__yolo11l_default__botsort__full_frame,YOLO11l default | botsort | Full frame,mubi_road,downward,0.5,0.3,10.0,1.0,
mubi_road__yolo11l_default__botsort__full_frame,YOLO11l default | botsort | Full frame,mubi_road,upward,0.5,0.3,10.0,0.9788732394366197,
mubi_road__yolo11l_default__botsort__full_frame,YOLO11l default | botsort | Full frame,mubi_road,downward,0.5,0.5,10.0,1.0,
mubi_road__yolo11l_default__botsort__full_frame,YOLO11l default | botsort | Full frame,mubi_road,upward,0.5,0.5,10.0,0.9788732394366197,
mubi_road__yolo11l_default__botsort__full_frame,YOLO11l default | botsort | Full frame,mubi_road,downward,0.6,0.0,10.0,1.0,
mubi_road__yolo11l_default__botsort__full_frame,YOLO11l default | botsort | Full frame,mubi_road,upward,0.6,0.0,10.0,0.9929577464788732,
mubi_road__yolo11l_default__botsort__full_frame,YOLO11l default | botsort | Full frame,mubi_road,downward,0.6,0.15,10.0,1.0,
mubi_road__yolo11l_default__botsort__full_frame,YOLO11l default | botsort | Full frame,mubi_road,upward,0.6,0.15,10.0,0.9929577464788732,
mubi_road__yolo11l_default__botsort__full_frame,YOLO11l default | botsort | Full frame,mubi_road,downward,0.6,0.3,10.0,1.0,
mubi_road__yolo11l_default__botsort__full_frame,YOLO11l default | botsort | Full frame,mubi_road,upward,0.6,0.3,10.0,0.9929577464788732,
mubi_road__yolo11l_default__botsort__full_frame,YOLO11l default | botsort | Full frame,mubi_road,downward,0.6,0.5,10.0,1.0,
mubi_road__yolo11l_default__botsort__full_frame,YOLO11l default | botsort | Full frame,mubi_road,upward,0.6,0.5,10.0,0.9929577464788732,
mubi_road__yolo11l_default__botsort__roi,YOLO11l default | botsort | ROI,mubi_road,downward,0.3,0.0,10.0,1.8969072164948453,
mubi_road__yolo11l_default__botsort__roi,YOLO11l default | botsort | ROI,mubi_road,upward,0.3,0.0,10.0,1.9295774647887325,
mubi_road__yolo11l_default__botsort__roi,YOLO11l default | botsort | ROI,mubi_road,downward,0.3,0.15,10.0,1.7628865979381443,
mubi_road__yolo11l_default__botsort__roi,YOLO11l default | botsort | ROI,mubi_road,upward,0.3,0.15,10.0,1.8098591549295775,
mubi_road__yolo11l_default__botsort__roi,YOLO11l default | botsort | ROI,mubi_road,downward,0.3,0.3,10.0,1.675257731958763,
mubi_road__yolo11l_default__botsort__roi,YOLO11l default | botsort | ROI,mubi_road,upward,0.3,0.3,10.0,1.6830985915492958,
mubi_road__yolo11l_default__botsort__roi,YOLO11l default | botsort | ROI,mubi_road,downward,0.3,0.5,10.0,1.458762886597938,
mubi_road__yolo11l_default__botsort__roi,YOLO11l default | botsort | ROI,mubi_road,upward,0.3,0.5,10.0,1.5422535211267605,
mubi_road__yolo11l_default__botsort__roi,YOLO11l default | botsort | ROI,mubi_road,downward,0.4,0.0,10.0,1.7164948453608246,
mubi_road__yolo11l_default__botsort__roi,YOLO11l default | botsort | ROI,mubi_road,upward,0.4,0.0,10.0,1.8098591549295775,
mubi_road__yolo11l_default__botsort__roi,YOLO11l default | botsort | ROI,mubi_road,downward,0.4,0.15,10.0,1.6185567010309279,
mubi_road__yolo11l_default__botsort__roi,YOLO11l default | botsort | ROI,mubi_road,upward,0.4,0.15,10.0,1.7394366197183098,
