experiment_key,video_key,model_key,model_display_name,tracker,region_mode,track_id,class,enter_time_s,exit_time_s,duration_s,enter_frame,exit_frame,enter_cx,enter_cy,exit_cx,exit_cy,avg_conf_in_region,max_conf_in_region,frames_in_region
yola_road__yolo11l_default__bytetrack__full_frame,yola_road,yolo11l_default,YOLO11l default,bytetrack,full_frame,1,car,0.0,600.7,600.7,0,18021,350.2327880859375,233.73944091796875,27.623693466186523,602.8009033203125,0.8161737236839074,0.9051304459571838,104
yola_road__yolo11l_default__bytetrack__full_frame,yola_road,yolo11l_default,YOLO11l default,bytetrack,full_frame,3,car,0.0,600.7,600.7,0,18021,483.118408203125,164.33074951171875,303.88690185546875,686.83740234375,0.7636768808791731,0.8904412388801575,229
yola_road__yolo11l_default__bytetrack__full_frame,yola_road,yolo11l_default,YOLO11l default,bytetrack,full_frame,6,car,0.0,600.7,600.7,0,18021,1021.7611083984375,437.12176513671875,893.3994750976562,400.0250549316406,0.6317236606151827,0.7926382422447205,62
yola_road__yolo11l_default__bytetrack__full_frame,yola_road,yolo11l_default,YOLO11l default,bytetrack,full_frame,8,car,0.0,600.7,600.7,0,18021,973.89404296875,338.3955078125,1021.4017944335938,429.38958740234375,0.5887614700986051,0.8110470771789551,174
yola_road__yolo11l_default__bytetrack__full_frame,yola_road,yolo11l_default,YOLO11l default,bytetrack,full_frame,9,truck,0.0,600.7,600.7,0,18021,887.2078857421875,352.6366271972656,884.0020751953125,377.56829833984375,0.5025874154042389,0.7116968631744385,59
yola_road__yolo11l_default__bytetrack__full_frame,yola_road,yolo11l_default,YOLO11l default,bytetrack,full_frame,10,car,0.0,600.7,600.7,0,18021,171.1894989013672,366.87982177734375,166.59213256835938,370.50714111328125,0.5045474618673325,0.5236508250236511,2
yola_road__yolo11l_default__bytetrack__full_frame,yola_road,yolo11l_default,YOLO11l default,bytetrack,full_frame,11,bus,0.0,600.7,600.7,0,18021,378.9885559082031,156.06350708007812,379.0018615722656,158.5585174560547,0.39876006429012006,0.47565025091171265,13
yola_road__yolo11l_default__bytetrack__full_frame,yola_road,yolo11l_default,YOLO11l default,bytetrack,full_frame,14,truck,0.0,600.7,600.7,0,18021,170.83053588867188,366.4052734375,27.265716552734375,541.2276611328125,0.6958694721643741,0.8357033729553223,26
yola_road__yolo11l_default__bytetrack__full_frame,yola_road,yolo11l_default,YOLO11l default,bytetrack,full_frame,16,truck,0.0,600.7,600.7,0,18021,750.3343505859375,207.95875549316406,744.111083984375,242.03778076171875,0.37534969619342257,0.45458707213401794,35
yola_road__yolo11l_default__bytetrack__full_frame,yola_road,yolo11l_default,YOLO11l default,bytetrack,full_frame,18,truck,0.0,600.7,600.7,0,18021,721.555419921875,236.0107421875,722.7846069335938,236.02540588378906,0.327077180147171,0.381635844707489,10
yola_road__yolo11l_default__bytetrack__full_frame,yola_road,yolo11l_default,YOLO11l default,bytetrack,full_frame,19,car,0.0,600.7,600.7,0,18021,556.3797607421875,162.20790100097656,556.3797607421875,162.20790100097656,0.3152359127998352,0.3152359127998352,1
yola_road__yolo11l_default__bytetrack__full_frame,yola_road,yolo11l_default,YOLO11l default,bytetrack,full_frame,21,truck,0.0,600.7,600.7,0,18021,380.78948974609375,194.98028564453125,369.43218994140625,210.68008422851562,0.3577089250087738,0.4711502492427826,15
yola_road__yolo11l_default__bytetrack__full_frame,yola_road,yolo11l_default,YOLO11l default,bytetrack,full_frame,22,truck,0.0,600.7,600.7,0,18021,670.7883911132812,229.4713592529297,660.6759033203125,223.22525024414062,0.32350454926490785,0.40270334482192993,15
yola_road__yolo11l_default__bytetrack__full_frame,yola_road,yolo11l_default,YOLO11l default,bytetrack,full_frame,24,truck,0.1,600.7,600.6,3,18021,418.20751953125,169.34710693359375,418.20751953125,169.34710693359375,0.343103289604187,0.343103289604187,1
yola_road__yolo11l_default__bytetrack__full_frame,yola_road,yolo11l_default,YOLO11l default,bytetrack,full_frame,27,car,0.16666666666666666,600.7,600.5333333333334,5,18021,1252.264404296875,697.8997192382812,915.4426879882812,448.62554931640625,0.80008433842659,0.9157747030258179,125
yola_road__yolo11l_default__bytetrack__full_frame,yola_road,yolo11l_default,YOLO11l default,bytetrack,full_frame,28,car,0.16666666666666666,600.7,600.5333333333334,5,18021,885.328369140625,350.95654296875,885.328369140625,350.95654296875,0.386019766330719,0.386019766330719,1
yola_road__yolo11l_default__bytetrack__full_frame,yola_road,yolo11l_default,YOLO11l default,bytetrack,full_frame,30,car,0.36666666666666664,600.7,600.3333333333334,11,18021,883.2830200195312,349.91192626953125,883.2830200195312,349.91192626953125,0.35813048481941223,0.35813048481941223,1
