experiment_key,video_key,model_key,model_display_name,tracker,region_mode,track_id,class,enter_time_s,exit_time_s,duration_s,enter_frame,exit_frame,enter_cx,enter_cy,exit_cx,exit_cy,avg_conf_in_region,max_conf_in_region,frames_in_region
yola_road__yolo26l_default__botsort__full_frame,yola_road,yolo26l_default,YOLO26l default,botsort,full_frame,1,car,0.0,600.7,600.7,0,18021,350.2627868652344,233.63116455078125,11.35351848602295,614.812744140625,0.8279374173709324,0.8781275749206543,105
yola_road__yolo26l_default__botsort__full_frame,yola_road,yolo26l_default,YOLO26l default,botsort,full_frame,2,car,0.0,600.7,600.7,0,18021,1021.2390747070312,436.50030517578125,914.317138671875,415.198486328125,0.32977588049003054,0.47555679082870483,28
yola_road__yolo26l_default__botsort__full_frame,yola_road,yolo26l_default,YOLO26l default,botsort,full_frame,3,car,0.0,600.7,600.7,0,18021,482.71234130859375,163.65350341796875,313.2019348144531,667.0889892578125,0.5397615025440852,0.843015193939209,210
yola_road__yolo26l_default__botsort__full_frame,yola_road,yolo26l_default,YOLO26l default,botsort,full_frame,4,bus,0.0,600.7,600.7,0,18021,170.90823364257812,365.6361083984375,165.27540588378906,371.4014892578125,0.36578644812107086,0.41877418756484985,2
yola_road__yolo26l_default__botsort__full_frame,yola_road,yolo26l_default,YOLO26l default,botsort,full_frame,5,car,0.0,600.7,600.7,0,18021,972.41650390625,340.2391357421875,1035.818115234375,410.3479919433594,0.45646469784926064,0.6648399829864502,146
yola_road__yolo26l_default__botsort__full_frame,yola_road,yolo26l_default,YOLO26l default,botsort,full_frame,12,truck,0.16666666666666666,600.7,600.5333333333334,5,18021,884.5588989257812,351.33258056640625,878.412109375,382.71014404296875,0.3197699697578655,0.4771563410758972,17
yola_road__yolo26l_default__botsort__full_frame,yola_road,yolo26l_default,YOLO26l default,botsort,full_frame,13,car,0.16666666666666666,600.7,600.5333333333334,5,18021,378.746826171875,156.17828369140625,388.43701171875,207.05596923828125,0.3487787129623549,0.5080463886260986,56
yola_road__yolo26l_default__botsort__full_frame,yola_road,yolo26l_default,YOLO26l default,botsort,full_frame,15,car,0.2,600.7,600.5,6,18021,1246.917236328125,692.7415161132812,892.0711669921875,435.6472473144531,0.8104632196051104,0.9033915996551514,108
yola_road__yolo26l_default__botsort__full_frame,yola_road,yolo26l_default,YOLO26l default,botsort,full_frame,27,car,0.6,600.7,600.1,18,18021,49.57792282104492,472.7232971191406,15.2267484664917,542.4208984375,0.48117601019995554,0.6842477917671204,7
yola_road__yolo26l_default__botsort__full_frame,yola_road,yolo26l_default,YOLO26l default,botsort,full_frame,45,car,2.0,600.7,598.7,60,18021,1149.69921875,651.0203857421875,881.4913330078125,492.8482360839844,0.380103325843811,0.687187135219574,55
yola_road__yolo26l_default__botsort__full_frame,yola_road,yolo26l_default,YOLO26l default,botsort,full_frame,59,car,2.3666666666666667,600.7,598.3333333333334,71,18021,985.896240234375,383.71380615234375,984.138916015625,383.43109130859375,0.43041776679456234,0.6202512383460999,32
yola_road__yolo26l_default__botsort__full_frame,yola_road,yolo26l_default,YOLO26l default,botsort,full_frame,62,car,2.466666666666667,600.7,598.2333333333333,74,18021,889.3603515625,400.5734558105469,878.36865234375,385.61114501953125,0.30322925249735516,0.34650394320487976,9
yola_road__yolo26l_default__botsort__full_frame,yola_road,yolo26l_default,YOLO26l default,botsort,full_frame,80,car,3.066666666666667,600.7,597.6333333333333,92,18021,468.3843994140625,205.89166259765625,17.9666690826416,622.1102294921875,0.704480932336865,0.8935547471046448,165
yola_road__yolo26l_default__botsort__full_frame,yola_road,yolo26l_default,YOLO26l default,botsort,full_frame,85,car,3.2333333333333334,600.7,597.4666666666667,97,18021,744.5089721679688,241.631103515625,757.1583251953125,271.7234802246094,0.3530960738658905,0.4622516334056854,20
yola_road__yolo26l_default__botsort__full_frame,yola_road,yolo26l_default,YOLO26l default,botsort,full_frame,90,truck,3.3333333333333335,600.7,597.3666666666667,100,18021,326.96075439453125,330.13641357421875,49.31127166748047,648.8695068359375,0.38406842503141847,0.6786020398139954,47
yola_road__yolo26l_default__botsort__full_frame,yola_road,yolo26l_default,YOLO26l default,botsort,full_frame,98,car,3.5,600.7,597.2,105,18021,388.090576171875,202.9697265625,415.3063049316406,162.76260375976562,0.4252911228558113,0.5894297361373901,145
yola_road__yolo26l_default__botsort__full_frame,yola_road,yolo26l_default,YOLO26l default,botsort,full_frame,114,bus,3.8666666666666667,600.7,596.8333333333334,116,18021,1182.654296875,618.0484619140625,913.8368530273438,358.8660888671875,0.3550359202467877,0.6627697944641113,115
yola_road__yolo26l_default__botsort__full_frame,yola_road,yolo26l_default,YOLO26l default,botsort,full_frame,126,car,4.233333333333333,600.7,596.4666666666667,127,18021,897.2611083984375,436.1119384765625,893.6384887695312,454.3570251464844,0.3151330078641574,0.39366021752357483,12
yola_road__yolo26l_default__botsort__full_frame,yola_road,yolo26l_default,YOLO26l default,botsort,full_frame,134,car,4.466666666666667,600.7,596.2333333333333,134,18021,912.95556640625,454.73870849609375,737.7904052734375,241.99331665039062,0.53444335660244,0.8116933703422546,221
yola_road__yolo26l_default__botsort__full_frame,yola_road,yolo26l_default,YOLO26l default,botsort,full_frame,160,car,5.866666666666666,600.7,594.8333333333334,176,18021,857.5013427734375,471.28741455078125,806.0025024414062,362.1463623046875,0.30902748383008516,0.4075912535190582,26
yola_road__yolo26l_default__botsort__full_frame,yola_road,yolo26l_default,YOLO26l default,botsort,full_frame,177,truck,6.566666666666666,600.7,594.1333333333333,197,18021,308.2588806152344,330.6194152832031,25.15034294128418,470.46728515625,0.33868910048318945,0.6816051006317139,46
yola_road__yolo26l_default__botsort__full_frame,yola_road,yolo26l_default,YOLO26l default,botsort,full_frame,195,car,7.266666666666667,600.7,593.4333333333334,218,18021,767.8423461914062,253.46434020996094,746.98681640625,196.91497802734375,0.3673563697716085,0.5882944464683533,246
yola_road__yolo26l_default__botsort__full_frame,yola_road,yolo26l_default,YOLO26l default,botsort,full_frame,204,car,7.966666666666667,600.7,592.7333333333333,239,18021,904.8642578125,379.29071044921875,905.429931640625,362.2491455078125,0.35275301337242126,0.47424763441085815,14
yola_road__yolo26l_default__botsort__full_frame,yola_road,yolo26l_default,YOLO26l default,botsort,full_frame,207,car,8.266666666666667,600.7,592.4333333333334,248,18021,1202.726318359375,687.2772216796875,770.363525390625,323.799072265625,0.4049423421130461,0.701573371887207,85
yola_road__yolo26l_default__botsort__full_frame,yola_road,yolo26l_default,YOLO26l default,botsort,full_frame,220,car,8.566666666666666,600.7,592.1333333333333,257,18021,942.54443359375,393.98394775390625,942.54443359375,393.98394775390625,0.31592124700546265,0.31592124700546265,1
yola_road__yolo26l_default__botsort__full_frame,yola_road,yolo26l_default,YOLO26l default,botsort,full_frame,242,car,10.6,600.7,590.1,318,18021,485.31573486328125,162.67642211914062,87.78756713867188,647.6080322265625,0.5676161085979806,0.7896634340286255,144
yola_road__yolo26l_default__botsort__full_frame,yola_road,yolo26l_default,YOLO26l default,botsort,full_frame,245,car,11.166666666666666,600.7,589.5333333333334,335,18021,420.6260986328125,153.36053466796875,429.4938049316406,163.22100830078125,0.4628572644026748,0.6599346399307251,682
yola_road__yolo26l_default__botsort__full_frame,yola_road,yolo26l_default,YOLO26l default,botsort,full_frame,247,bus,11.266666666666667,600.7,589.4333333333334,338,18021,904.4564208984375,352.8004150390625,860.64794921875,337.2247314453125,0.32731474871220795,0.44634178280830383,69
yola_road__yolo26l_default__botsort__full_frame,yola_road,yolo26l_default,YOLO26l default,botsort,full_frame,258,car,11.8,600.7,588.9000000000001,354,18021,997.172119140625,677.9650268554688,605.716064453125,188.93844604492188,0.6793005733318578,0.8406723737716675,153
yola_road__yolo26l_default__botsort__full_frame,yola_road,yolo26l_default,YOLO26l default,botsort,full_frame,262,car,12.033333333333333,600.7,588.6666666666667,361,18021,1020.628662109375,337.5972900390625,1022.9320068359375,336.9545593261719,0.3880399987101555,0.5217998027801514,8
yola_road__yolo26l_default__botsort__full_frame,yola_road,yolo26l_default,YOLO26l default,botsort,full_frame,266,car,12.366666666666667,600.7,588.3333333333334,371,18021,1214.04638671875,636.6972045898438,1033.734130859375,480.7817077636719,0.3816438627243042,0.5564438700675964,25
