experiment_key,video_key,model_key,model_display_name,tracker,region_mode,track_id,class,enter_time_s,exit_time_s,duration_s,enter_frame,exit_frame,enter_cx,enter_cy,exit_cx,exit_cy,avg_conf_in_region,max_conf_in_region,frames_in_region
yola_road__yolo26l_default__botsort__roi,yola_road,yolo26l_default,YOLO26l default,botsort,roi,1,car,1.7666666666666666,2.1666666666666665,0.3999999999999999,53,65,248.20877075195312,362.1789855957031,213.13217163085938,399.4355773925781,0.8358426292737325,0.872160017490387,12
yola_road__yolo26l_default__botsort__roi,yola_road,yolo26l_default,YOLO26l default,botsort,roi,3,car,4.866666666666666,5.6,0.7333333333333334,146,168,475.8983154296875,360.07330322265625,469.38446044921875,398.38946533203125,0.721499047496102,0.7892782688140869,22
yola_road__yolo26l_default__botsort__roi,yola_road,yolo26l_default,YOLO26l default,botsort,roi,4,bus,0.0,600.7,600.7,0,18021,170.90823364257812,365.6361083984375,165.27540588378906,371.4014892578125,0.36578644812107086,0.41877418756484985,2
yola_road__yolo26l_default__botsort__roi,yola_road,yolo26l_default,YOLO26l default,botsort,roi,5,car,0.7333333333333333,4.566666666666666,3.833333333333333,22,137,960.5462646484375,361.0268859863281,998.9901123046875,397.3074035644531,0.4986434866015504,0.6648399829864502,82
yola_road__yolo26l_default__botsort__roi,yola_road,yolo26l_default,YOLO26l default,botsort,roi,12,truck,0.6333333333333333,600.7,600.0666666666667,19,18021,881.3021850585938,360.7261657714844,878.412109375,382.71014404296875,0.3298771885725168,0.4771563410758972,13
yola_road__yolo26l_default__botsort__roi,yola_road,yolo26l_default,YOLO26l default,botsort,roi,59,car,2.3666666666666667,600.7,598.3333333333334,71,18021,985.896240234375,383.71380615234375,984.138916015625,383.43109130859375,0.43041776679456234,0.6202512383460999,32
yola_road__yolo26l_default__botsort__roi,yola_road,yolo26l_default,YOLO26l default,botsort,roi,62,car,2.533333333333333,600.7,598.1666666666667,76,18021,887.0917358398438,399.85845947265625,878.36865234375,385.61114501953125,0.292943217924663,0.34650394320487976,7
yola_road__yolo26l_default__botsort__roi,yola_road,yolo26l_default,YOLO26l default,botsort,roi,80,car,7.2,7.6,0.39999999999999947,216,228,336.4716796875,361.1203918457031,276.90997314453125,399.0329895019531,0.850865513086319,0.87708580493927,12
yola_road__yolo26l_default__botsort__roi,yola_road,yolo26l_default,YOLO26l default,botsort,roi,90,truck,3.7333333333333334,4.066666666666666,0.33333333333333304,112,122,292.96331787109375,364.8724670410156,265.9342041015625,396.9148254394531,0.3649967610836029,0.42759838700294495,8
yola_road__yolo26l_default__botsort__roi,yola_road,yolo26l_default,YOLO26l default,botsort,roi,114,bus,8.4,9.966666666666667,1.5666666666666664,252,299,945.0181884765625,399.9854431152344,914.1708374023438,360.9063415527344,0.344311311438277,0.5114020705223083,37
yola_road__yolo26l_default__botsort__roi,yola_road,yolo26l_default,YOLO26l default,botsort,roi,134,car,7.7,8.466666666666667,0.7666666666666666,231,254,855.0413818359375,398.2764892578125,820.6304931640625,363.3000183105469,0.5681947618722916,0.6966236233711243,20
yola_road__yolo26l_default__botsort__roi,yola_road,yolo26l_default,YOLO26l default,botsort,roi,160,car,8.433333333333334,600.7,592.2666666666668,253,18021,814.755859375,375.20294189453125,806.0025024414062,362.1463623046875,0.32762491106987,0.4075912535190582,5
yola_road__yolo26l_default__botsort__roi,yola_road,yolo26l_default,YOLO26l default,botsort,roi,177,truck,7.533333333333333,8.3,0.7666666666666675,226,249,220.4679412841797,360.61181640625,124.29702758789062,398.90301513671875,0.3129264447424147,0.43342867493629456,9
yola_road__yolo26l_default__botsort__roi,yola_road,yolo26l_default,YOLO26l default,botsort,roi,204,car,7.966666666666667,600.7,592.7333333333333,239,18021,904.8642578125,379.29071044921875,905.429931640625,362.2491455078125,0.35275301337242126,0.47424763441085815,14
yola_road__yolo26l_default__botsort__roi,yola_road,yolo26l_default,YOLO26l default,botsort,roi,207,car,10.666666666666666,11.266666666666667,0.6000000000000014,320,338,854.6717529296875,397.76129150390625,816.1124267578125,364.3517761230469,0.33560901284217837,0.42672866582870483,15
yola_road__yolo26l_default__botsort__roi,yola_road,yolo26l_default,YOLO26l default,botsort,roi,220,car,8.566666666666666,600.7,592.1333333333333,257,18021,942.54443359375,393.98394775390625,942.54443359375,393.98394775390625,0.31592124700546265,0.31592124700546265,1
