experiment_key,video_key,model_key,model_display_name,tracker,region_mode,track_id,class,enter_time_s,exit_time_s,duration_s,enter_frame,exit_frame,enter_cx,enter_cy,exit_cx,exit_cy,avg_conf_in_region,max_conf_in_region,frames_in_region
yola_road__yolo26l_default__bytetrack__roi,yola_road,yolo26l_default,YOLO26l default,bytetrack,roi,1,car,1.7666666666666666,2.1666666666666665,0.3999999999999999,53,65,248.22280883789062,362.2685546875,213.20762634277344,399.40496826171875,0.8358426292737325,0.872160017490387,12
yola_road__yolo26l_default__bytetrack__roi,yola_road,yolo26l_default,YOLO26l default,bytetrack,roi,3,car,4.866666666666666,5.6,0.7333333333333334,146,168,475.95819091796875,361.1826171875,469.62176513671875,398.38531494140625,0.721499047496102,0.7892782688140869,22
yola_road__yolo26l_default__bytetrack__roi,yola_road,yolo26l_default,YOLO26l default,bytetrack,roi,4,bus,0.0,600.7,600.7,0,18021,170.90823364257812,365.6361083984375,165.2720489501953,371.4106140136719,0.36578644812107086,0.41877418756484985,2
yola_road__yolo26l_default__bytetrack__roi,yola_road,yolo26l_default,YOLO26l default,bytetrack,roi,5,car,0.7333333333333333,600.7,599.9666666666667,22,18021,960.678955078125,360.3369140625,966.9075927734375,373.8866271972656,0.5204809520925794,0.6648399829864502,49
yola_road__yolo26l_default__bytetrack__roi,yola_road,yolo26l_default,YOLO26l default,bytetrack,roi,12,truck,0.6333333333333333,600.7,600.0666666666667,19,18021,881.2261962890625,360.2003173828125,878.4453125,382.9915771484375,0.3298771885725168,0.4771563410758972,13
yola_road__yolo26l_default__bytetrack__roi,yola_road,yolo26l_default,YOLO26l default,bytetrack,roi,85,car,2.3666666666666667,4.566666666666666,2.1999999999999997,71,137,985.924560546875,383.6676025390625,998.62451171875,395.9825439453125,0.4485933505571805,0.6202512383460999,65
yola_road__yolo26l_default__bytetrack__roi,yola_road,yolo26l_default,YOLO26l default,bytetrack,roi,88,car,2.533333333333333,600.7,598.1666666666667,76,18021,887.17529296875,399.8646240234375,878.463134765625,385.62249755859375,0.292943217924663,0.34650394320487976,7
yola_road__yolo26l_default__bytetrack__roi,yola_road,yolo26l_default,YOLO26l default,bytetrack,roi,101,car,7.2,7.6,0.39999999999999947,216,228,336.56427001953125,361.04766845703125,277.039794921875,399.04266357421875,0.850865513086319,0.87708580493927,12
yola_road__yolo26l_default__bytetrack__roi,yola_road,yolo26l_default,YOLO26l default,bytetrack,roi,118,truck,3.7333333333333334,4.066666666666666,0.33333333333333304,112,122,292.9972839355469,364.73291015625,265.89141845703125,396.6641845703125,0.3649967610836029,0.42759838700294495,8
yola_road__yolo26l_default__bytetrack__roi,yola_road,yolo26l_default,YOLO26l default,bytetrack,roi,147,bus,8.4,9.966666666666667,1.5666666666666664,252,299,945.020751953125,399.8739013671875,914.0809326171875,361.0049133300781,0.344311311438277,0.5114020705223083,37
