experiment_key,video_key,model_key,model_display_name,tracker,region_mode,track_id,class,enter_time_s,exit_time_s,duration_s,enter_frame,exit_frame,enter_cx,enter_cy,exit_cx,exit_cy,avg_conf_in_region,max_conf_in_region,frames_in_region
yola_road__yolo26l_tuned__bytetrack__roi,yola_road,yolo26l_tuned,YOLO26l tuned,bytetrack,roi,1,keke,0.0,0.26666666666666666,0.26666666666666666,0,8,170.3488006591797,366.9794006347656,130.7362060546875,397.74383544921875,0.8906318843364716,0.9076032042503357,8
yola_road__yolo26l_tuned__bytetrack__roi,yola_road,yolo26l_tuned,YOLO26l tuned,bytetrack,roi,2,car,1.7666666666666666,2.1666666666666665,0.3999999999999999,53,65,248.6298828125,362.42083740234375,214.18182373046875,398.07598876953125,0.8504755944013596,0.8742923736572266,12
yola_road__yolo26l_tuned__bytetrack__roi,yola_road,yolo26l_tuned,YOLO26l tuned,bytetrack,roi,3,car,4.866666666666666,5.6,0.7333333333333334,146,168,475.98614501953125,360.78619384765625,470.1309814453125,397.73223876953125,0.8431019674647938,0.8594386577606201,22
yola_road__yolo26l_tuned__bytetrack__roi,yola_road,yolo26l_tuned,YOLO26l tuned,bytetrack,roi,4,car,0.7666666666666667,4.533333333333333,3.7666666666666666,23,136,964.799560546875,362.16973876953125,995.8502197265625,397.0850830078125,0.63354306331778,0.8059538006782532,113
yola_road__yolo26l_tuned__bytetrack__roi,yola_road,yolo26l_tuned,YOLO26l tuned,bytetrack,roi,6,keke,3.5,3.933333333333333,0.4333333333333331,105,118,223.79965209960938,362.66668701171875,183.13699340820312,397.60699462890625,0.8702116058422968,0.8881956338882446,13
yola_road__yolo26l_tuned__bytetrack__roi,yola_road,yolo26l_tuned,YOLO26l tuned,bytetrack,roi,7,keke,3.033333333333333,600.7,597.6666666666667,91,18021,884.2027587890625,399.245849609375,878.9404296875,394.3427734375,0.32734425614277524,0.5022273063659668,12
yola_road__yolo26l_tuned__bytetrack__roi,yola_road,yolo26l_tuned,YOLO26l tuned,bytetrack,roi,15,keke,0.6333333333333333,600.7,600.0666666666667,19,18021,881.4681396484375,360.2167663574219,879.4774169921875,374.7239990234375,0.3900133831934495,0.6102373600006104,33
yola_road__yolo26l_tuned__bytetrack__roi,yola_road,yolo26l_tuned,YOLO26l tuned,bytetrack,roi,31,keke,3.7,4.066666666666666,0.36666666666666625,111,122,296.6169128417969,360.44775390625,265.97796630859375,397.68695068359375,0.8956223184412176,0.9041430950164795,11
yola_road__yolo26l_tuned__bytetrack__roi,yola_road,yolo26l_tuned,YOLO26l tuned,bytetrack,roi,59,truck,1.5333333333333334,600.7,599.1666666666667,46,18021,879.4288940429688,385.0255126953125,878.9583740234375,385.5630187988281,0.3503611236810684,0.38588687777519226,2
yola_road__yolo26l_tuned__bytetrack__roi,yola_road,yolo26l_tuned,YOLO26l tuned,bytetrack,roi,85,car,7.2,7.6,0.39999999999999947,216,228,337.07598876953125,360.86077880859375,278.18408203125,397.6224670410156,0.8551075359185537,0.8819429874420166,12
yola_road__yolo26l_tuned__bytetrack__roi,yola_road,yolo26l_tuned,YOLO26l tuned,bytetrack,roi,98,car,2.533333333333333,600.7,598.1666666666667,76,18021,881.161865234375,368.034912109375,880.5523681640625,367.9388427734375,0.38488125801086426,0.41141241788864136,2
yola_road__yolo26l_tuned__bytetrack__roi,yola_road,yolo26l_tuned,YOLO26l tuned,bytetrack,roi,115,keke,7.533333333333333,8.3,0.7666666666666675,226,249,219.34442138671875,360.40570068359375,123.92916870117188,398.5179443359375,0.8189164711081464,0.8750113844871521,23
yola_road__yolo26l_tuned__bytetrack__roi,yola_road,yolo26l_tuned,YOLO26l tuned,bytetrack,roi,126,car,8.4,10.266666666666667,1.8666666666666671,252,308,944.4310302734375,399.35821533203125,913.4530029296875,365.40863037109375,0.43899543526080936,0.7498911619186401,52
yola_road__yolo26l_tuned__bytetrack__roi,yola_road,yolo26l_tuned,YOLO26l tuned,bytetrack,roi,128,truck,7.666666666666667,8.4,0.7333333333333334,230,252,856.1422119140625,399.06378173828125,819.3975830078125,361.3234558105469,0.6876784888180819,0.7934529781341553,22
yola_road__yolo26l_tuned__bytetrack__roi,yola_road,yolo26l_tuned,YOLO26l tuned,bytetrack,roi,168,bus,6.866666666666666,8.666666666666666,1.7999999999999998,206,260,914.1474609375,399.8804931640625,905.6392211914062,360.53558349609375,0.3979161971427025,0.5794164538383484,47
yola_road__yolo26l_tuned__bytetrack__roi,yola_road,yolo26l_tuned,YOLO26l tuned,bytetrack,roi,169,keke,6.233333333333333,7.333333333333333,1.0999999999999996,187,220,841.9765625,398.9779052734375,838.907470703125,361.02655029296875,0.617168763370225,0.7847808003425598,33
yola_road__yolo26l_tuned__bytetrack__roi,yola_road,yolo26l_tuned,YOLO26l tuned,bytetrack,roi,190,car,8.033333333333333,9.2,1.166666666666666,241,276,816.5861206054688,399.7623291015625,807.232421875,360.4386901855469,0.4050808584690094,0.5858852863311768,25
yola_road__yolo26l_tuned__bytetrack__roi,yola_road,yolo26l_tuned,YOLO26l tuned,bytetrack,roi,205,truck,7.366666666666666,600.7,593.3333333333334,221,18021,909.5213623046875,392.145263671875,909.080078125,389.958740234375,0.30783095955848694,0.38379013538360596,4
yola_road__yolo26l_tuned__bytetrack__roi,yola_road,yolo26l_tuned,YOLO26l tuned,bytetrack,roi,245,car,10.766666666666667,11.3,0.5333333333333332,323,339,846.03857421875,393.62200927734375,810.457763671875,360.69140625,0.3375227053960164,0.4959092140197754,6
yola_road__yolo26l_tuned__bytetrack__roi,yola_road,yolo26l_tuned,YOLO26l tuned,bytetrack,roi,253,truck,8.433333333333334,600.7,592.2666666666668,253,18021,943.7745361328125,399.75616455078125,942.8449096679688,395.6986083984375,0.39141181856393814,0.45261886715888977,4
yola_road__yolo26l_tuned__bytetrack__roi,yola_road,yolo26l_tuned,YOLO26l tuned,bytetrack,roi,254,truck,8.366666666666667,600.7,592.3333333333334,251,18021,905.349853515625,367.80108642578125,905.5206909179688,366.9884033203125,0.37377742926279706,0.4342550039291382,3
yola_road__yolo26l_tuned__bytetrack__roi,yola_road,yolo26l_tuned,YOLO26l tuned,bytetrack,roi,263,truck,8.766666666666667,600.7,591.9333333333334,263,18021,939.3421630859375,386.930419921875,929.3067016601562,380.791748046875,0.5642032511532307,0.7376388907432556,16
yola_road__yolo26l_tuned__bytetrack__roi,yola_road,yolo26l_tuned,YOLO26l tuned,bytetrack,roi,277,car,14.433333333333334,14.666666666666666,0.2333333333333325,433,440,356.37298583984375,362.99957275390625,325.62066650390625,395.346923828125,0.6953158463750567,0.7797168493270874,7
yola_road__yolo26l_tuned__bytetrack__roi,yola_road,yolo26l_tuned,YOLO26l tuned,bytetrack,roi,278,car,9.366666666666667,600.7,591.3333333333334,281,18021,928.1021118164062,379.5396728515625,916.10498046875,371.27301025390625,0.39907996853192645,0.543089747428894,15
yola_road__yolo26l_tuned__bytetrack__roi,yola_road,yolo26l_tuned,YOLO26l tuned,bytetrack,roi,296,keke,15.866666666666667,16.266666666666666,0.3999999999999986,476,488,206.15655517578125,362.24847412109375,149.169677734375,397.6825256347656,0.9063524355491003,0.9152696132659912,12
yola_road__yolo26l_tuned__bytetrack__roi,yola_road,yolo26l_tuned,YOLO26l tuned,bytetrack,roi,307,car,12.9,13.2,0.29999999999999893,387,396,758.0435180664062,396.79510498046875,732.8450927734375,361.818359375,0.8822464876704745,0.8944597244262695,9
yola_road__yolo26l_tuned__bytetrack__roi,yola_road,yolo26l_tuned,YOLO26l tuned,bytetrack,roi,325,car,19.233333333333334,19.433333333333334,0.1999999999999993,577,583,409.3934631347656,360.4974365234375,389.410400390625,393.6799011230469,0.8706296881039938,0.8865509629249573,6
yola_road__yolo26l_tuned__bytetrack__roi,yola_road,yolo26l_tuned,YOLO26l tuned,bytetrack,roi,337,car,14.866666666666667,15.433333333333334,0.5666666666666664,446,463,834.5272216796875,397.63134765625,790.9208984375,360.5310974121094,0.6775745842605829,0.8500410318374634,16
yola_road__yolo26l_tuned__bytetrack__roi,yola_road,yolo26l_tuned,YOLO26l tuned,bytetrack,roi,400,car,14.533333333333333,15.6,1.0666666666666664,436,468,913.9669189453125,398.81201171875,866.6360473632812,361.43170166015625,0.3691508349250345,0.6209694743156433,17
yola_road__yolo26l_tuned__bytetrack__roi,yola_road,yolo26l_tuned,YOLO26l tuned,bytetrack,roi,405,keke,19.833333333333332,20.166666666666668,0.3333333333333357,595,605,203.7373046875,360.76153564453125,150.4197998046875,399.68310546875,0.8856988072395324,0.9001270532608032,10
yola_road__yolo26l_tuned__bytetrack__roi,yola_road,yolo26l_tuned,YOLO26l tuned,bytetrack,roi,409,car,14.466666666666667,600.7,586.2333333333333,434,18021,1051.0460205078125,369.4599304199219,1055.606201171875,376.2054748535156,0.4250175030458541,0.5954596996307373,42
yola_road__yolo26l_tuned__bytetrack__roi,yola_road,yolo26l_tuned,YOLO26l tuned,bytetrack,roi,410,truck,14.5,14.666666666666666,0.16666666666666607,435,440,346.7579345703125,372.4878234863281,325.4192810058594,395.06060791015625,0.49732290506362914,0.6066445708274841,5
yola_road__yolo26l_tuned__bytetrack__roi,yola_road,yolo26l_tuned,YOLO26l tuned,bytetrack,roi,419,car,16.7,17.2,0.5,501,516,802.3955078125,397.874267578125,755.833251953125,360.44415283203125,0.8844472169876099,0.8973631262779236,15
yola_road__yolo26l_tuned__bytetrack__roi,yola_road,yolo26l_tuned,YOLO26l tuned,bytetrack,roi,503,car,17.6,600.7,583.1,528,18021,1032.46337890625,370.050537109375,1032.46337890625,370.050537109375,0.3481029272079468,0.3481029272079468,1
yola_road__yolo26l_tuned__bytetrack__roi,yola_road,yolo26l_tuned,YOLO26l tuned,bytetrack,roi,505,bus,18.833333333333332,19.233333333333334,0.40000000000000213,565,577,763.8250732421875,399.3475341796875,742.16064453125,361.3662109375,0.6376601606607437,0.7367684245109558,12
yola_road__yolo26l_tuned__bytetrack__roi,yola_road,yolo26l_tuned,YOLO26l tuned,bytetrack,roi,518,car,18.1,600.7,582.6,543,18021,1010.2474365234375,367.2321472167969,1009.5889892578125,366.44891357421875,0.2911204795042674,0.34113994240760803,3
yola_road__yolo26l_tuned__bytetrack__roi,yola_road,yolo26l_tuned,YOLO26l tuned,bytetrack,roi,534,car,18.733333333333334,19.933333333333334,1.1999999999999993,562,598,1022.5503540039062,363.2348327636719,1029.7103271484375,360.20086669921875,0.5881728463702731,0.7059834003448486,36
yola_road__yolo26l_tuned__bytetrack__roi,yola_road,yolo26l_tuned,YOLO26l tuned,bytetrack,roi,534,car,20.733333333333334,23.7,2.966666666666665,622,711,1017.182861328125,360.0726318359375,998.2068481445312,360.02459716796875,0.5144819324476677,0.7475437521934509,57
