model,track_id,class,enter_time_s,exit_time_s,duration_s,enter_frame,exit_frame,enter_cx,enter_cy,exit_cx,exit_cy,avg_conf_in_region,max_conf_in_region,frames_in_region
default,1,car,1.7666666666666666,2.1666666666666665,0.3999999999999999,53,65,248.99477,360.64325,213.99612,397.58817,0.8075400988260905,0.8422844409942627,12
default,3,car,4.866666666666666,5.6,0.7333333333333334,146,168,476.05942,360.5644,470.19016,397.97937,0.8170796741138805,0.8443775177001953,22
default,6,car,2.1,2.1666666666666665,0.06666666666666643,63,65,893.5653,399.8615,893.5653,399.8615,0.44532057642936707,0.44532057642936707,1
default,6,car,2.7,4.5,1.7999999999999998,81,135,883.98157,399.80783,882.01685,399.68744,0.5695079151127074,0.7406495213508606,54
default,8,car,0.7,4.533333333333333,3.833333333333333,21,136,963.4957,360.66986,997.87775,397.19397,0.6253244550081721,0.8110470771789551,114
default,9,truck,0.6333333333333333,600.7,600.0666666666667,19,18021,880.9646,360.40747,883.9968,377.67883,0.5112415119296029,0.7116968631744385,42
default,10,car,0.0,600.7,600.7,0,18021,171.1895,366.87982,166.59549,370.49808,0.5045474618673325,0.5236508250236511,2
default,14,truck,0.0,0.26666666666666666,0.26666666666666666,0,8,170.83054,366.40527,131.31781,397.19745,0.5696598924696445,0.7265084385871887,8
default,21,truck,3.5,3.966666666666667,0.4666666666666668,105,119,225.0715,362.42657,179.9487,399.0277,0.6223338629518237,0.795037031173706,14
default,27,car,7.666666666666667,8.4,0.7333333333333334,230,252,855.3466,398.94012,823.4696,362.42117,0.6950577979996091,0.7880836129188538,21
default,27,car,8.433333333333334,8.466666666666667,0.033333333333333215,253,254,815.1188,364.40967,815.1188,364.40967,0.29505473375320435,0.29505473375320435,1
default,44,car,7.533333333333333,8.3,0.7666666666666675,226,249,220.60901,361.04776,125.19411,399.47742,0.6044747790564662,0.707141637802124,23
default,47,truck,3.7,4.066666666666666,0.36666666666666625,111,122,298.06113,360.58478,267.24667,395.58063,0.5801183635538275,0.6992734670639038,11
default,56,car,7.2,7.6,0.39999999999999947,216,228,336.95288,360.97607,277.95682,397.49265,0.8329308927059174,0.857114851474762,12
default,74,truck,1.0666666666666667,600.7,599.6333333333333,32,18021,879.5619,381.4851,879.5619,381.4851,0.31456130743026733,0.31456130743026733,1
default,87,car,8.0,8.733333333333333,0.7333333333333325,240,262,816.83984,398.4651,805.8373,361.14224,0.4443475499749184,0.5619217753410339,20
default,87,car,8.8,8.966666666666667,0.16666666666666607,264,269,807.9298,363.08295,809.87646,361.3705,0.4068552181124687,0.6458828449249268,4
