model,track_id,class,enter_time_s,exit_time_s,duration_s,enter_frame,exit_frame,enter_cx,enter_cy,exit_cx,exit_cy,avg_conf_in_region,max_conf_in_region,frames_in_region
default,6,car,0.0,0.43333333333333335,0.43333333333333335,0,13,1184.531,575.6355,1185.1135,560.9796,0.5782705178627601,0.6992235779762268,13
default,8,car,0.0,419.96666666666664,419.96666666666664,0,12599,795.56537,584.9419,795.56537,584.9419,0.5274251103401184,0.5274251103401184,1
default,9,truck,2.1333333333333333,2.933333333333333,0.7999999999999998,64,88,846.3627,561.1329,826.34204,598.54364,0.5193543757001559,0.6477361917495728,24
default,13,car,1.1,1.9,0.7999999999999998,33,57,1197.4149,597.5895,1177.3024,561.1008,0.3725784793496132,0.5627939701080322,24
default,14,bus,4.133333333333334,4.8,0.6666666666666661,124,144,951.978,560.55334,943.0221,598.48706,0.36934698075056077,0.5447089076042175,20
default,15,truck,0.0,0.26666666666666666,0.26666666666666666,0,8,795.62177,585.364,791.46594,599.4204,0.4889984577894211,0.5816667079925537,8
default,16,car,141.66666666666666,141.76666666666668,0.10000000000002274,4250,4253,911.73755,567.9651,912.7377,589.05774,0.7129769325256348,0.752193808555603,3
default,16,car,141.86666666666667,141.96666666666667,0.09999999999999432,4256,4259,914.5381,590.7129,913.3794,564.3812,0.6514648596445719,0.6749821901321411,3
default,17,car,7.3,8.133333333333333,0.833333333333333,219,244,922.173,561.0241,903.0856,599.9641,0.8631866002082824,0.8871979117393494,25
default,18,bus,1.5,2.2333333333333334,0.7333333333333334,45,67,938.4972,560.6576,924.6018,597.5581,0.4308719838207418,0.513323962688446,22
default,42,car,1.1333333333333333,419.96666666666664,418.8333333333333,34,12599,1269.7792,599.15295,1273.44,594.171,0.5809707733301016,0.6914594769477844,13
default,56,truck,4.966666666666667,5.666666666666667,0.7000000000000002,149,170,850.19165,561.6831,826.4144,598.0268,0.42314724773168566,0.704829216003418,20
default,85,car,1.5333333333333334,419.96666666666664,418.4333333333333,46,12599,937.7947,561.77954,937.7947,561.77954,0.3616839349269867,0.3616839349269867,1
default,91,bus,1.7,419.96666666666664,418.26666666666665,51,12599,934.3096,570.17883,934.3096,570.17883,0.4041082262992859,0.4041082262992859,1
default,95,car,4.133333333333334,5.1,0.9666666666666659,124,153,1164.3551,598.5374,1149.4143,560.3699,0.7096295541730421,0.7700557112693787,29
default,98,car,1.8,419.96666666666664,418.16666666666663,54,12599,931.854,574.55835,927.5831,589.006,0.38223665290408665,0.43899914622306824,9
default,116,truck,2.1666666666666665,419.96666666666664,417.79999999999995,65,12599,845.8518,562.51855,844.92883,563.88055,0.3700077086687088,0.4378807544708252,2
default,127,truck,2.4,419.96666666666664,417.56666666666666,72,12599,840.4785,572.75275,836.704,579.2383,0.4258189857006073,0.46609747409820557,5
default,141,truck,2.6333333333333333,419.96666666666664,417.3333333333333,79,12599,834.1867,584.327,834.1867,584.327,0.4023292660713196,0.4023292660713196,1
default,145,truck,2.7333333333333334,419.96666666666664,417.2333333333333,82,12599,830.85925,590.1078,830.3458,591.2626,0.36486753821372986,0.36995062232017517,2
default,153,car,4.233333333333333,5.433333333333334,1.2000000000000002,127,163,1250.3127,599.8392,1234.8086,560.4096,0.4711661645107799,0.6772931218147278,36
default,156,truck,2.8666666666666667,2.933333333333333,0.06666666666666643,86,88,827.6824,596.30066,826.52734,598.3581,0.39060230553150177,0.4126531183719635,2
