model,track_id,class,enter_time_s,exit_time_s,duration_s,enter_frame,exit_frame,enter_cx,enter_cy,exit_cx,exit_cy,avg_conf_in_region,max_conf_in_region,frames_in_region
tuned,2,car,1.0666666666666667,1.8666666666666667,0.8,32,56,1198.7854,599.30457,1177.9562,561.1305,0.6521867488821348,0.7355589270591736,24
tuned,3,car,0.0,0.43333333333333335,0.43333333333333335,0,13,1184.8799,574.8734,1186.5677,560.0538,0.6887237750566922,0.7374326586723328,13
tuned,4,truck,1.5,2.2333333333333334,0.7333333333333334,45,67,938.92395,561.7589,925.13525,599.16473,0.6209287771156856,0.7416625022888184,21
tuned,8,car,7.3,8.133333333333333,0.833333333333333,219,244,921.62634,560.978,902.92194,599.04297,0.8755936455726624,0.8913581371307373,25
tuned,9,truck,2.1,2.933333333333333,0.833333333333333,63,88,847.8313,561.31274,825.95306,599.2149,0.45426150872593835,0.6454960107803345,21
tuned,10,car,141.66666666666666,141.76666666666668,0.10000000000002274,4250,4253,911.8987,567.8666,912.3533,588.9531,0.6659315427144369,0.6901798844337463,3
tuned,10,car,141.86666666666667,141.96666666666667,0.09999999999999432,4256,4259,913.54297,590.6385,911.985,563.79047,0.662905772527059,0.6637089848518372,3
tuned,14,car,141.7,141.93333333333334,0.2333333333333485,4251,4258,814.33594,566.20984,814.0316,565.3139,0.7819326605115619,0.809154212474823,7
tuned,18,truck,0.2,0.26666666666666666,0.06666666666666665,6,8,791.9013,597.84863,791.28955,599.61084,0.3780840039253235,0.48628315329551697,2
tuned,44,car,1.2333333333333334,419.96666666666664,418.7333333333333,37,12599,1270.7732,596.8671,1271.9937,598.2745,0.34551260620355606,0.4315738379955292,4
tuned,59,car,4.1,5.1,1.0,123,153,1165.8485,599.7091,1149.5264,560.20593,0.6330899149179459,0.694932222366333,30
tuned,82,keke,4.933333333333334,5.733333333333333,0.7999999999999998,148,172,851.2186,560.30615,829.8083,594.1616,0.5912904817807046,0.8079348206520081,19
tuned,83,keke,2.7333333333333334,419.96666666666664,417.2333333333333,82,12599,831.70825,590.5341,831.70825,590.5341,0.31630221009254456,0.31630221009254456,1
tuned,88,truck,4.133333333333334,4.766666666666667,0.6333333333333329,124,143,953.081,561.4048,945.7061,598.5836,0.6068988081656004,0.7387920022010803,19
tuned,98,car,6.566666666666666,7.833333333333333,1.2666666666666666,197,235,1207.8347,599.43866,1177.2537,560.1439,0.611278968082892,0.7776191234588623,37
tuned,108,car,4.3,5.4,1.1000000000000005,129,162,1250.2764,596.2261,1236.6915,560.4459,0.4613449337153599,0.5841303467750549,29
tuned,131,car,13.1,14.1,1.0,393,423,911.0439,561.0011,894.6799,598.54456,0.8314530551433563,0.8518773913383484,30
tuned,134,truck,8.633333333333333,9.7,1.0666666666666664,259,291,866.2457,560.11505,843.42584,599.3388,0.4083367154516023,0.5761314630508423,29
tuned,154,car,14.133333333333333,15.133333333333333,1.0,424,454,822.0238,560.4145,788.4728,599.4911,0.8511581420898438,0.8717840909957886,30
tuned,155,car,11.166666666666666,12.366666666666667,1.200000000000001,335,371,928.1113,560.22595,904.4708,598.95483,0.785001180238194,0.8658891916275024,36
tuned,157,car,6.6,419.96666666666664,413.3666666666666,198,12599,1207.0304,599.0537,1204.7078,596.3439,0.5891004502773285,0.7443181872367859,4
tuned,162,truck,6.9,419.96666666666664,413.06666666666666,207,12599,1199.335,589.2195,1199.335,589.2195,0.41074496507644653,0.41074496507644653,1
tuned,167,truck,7.033333333333333,419.96666666666664,412.9333333333333,211,12599,1196.0703,584.0547,1194.6119,582.38336,0.5488356351852417,0.6055464148521423,3
tuned,169,truck,7.2,419.96666666666664,412.76666666666665,216,12599,1192.1967,578.33453,1190.5298,576.3417,0.4782400031884511,0.5214362144470215,3
tuned,174,truck,7.4,419.96666666666664,412.56666666666666,222,12599,1186.7815,571.74097,1183.4635,569.0968,0.5434302985668182,0.6293433308601379,5
tuned,181,car,7.633333333333334,419.96666666666664,412.3333333333333,229,12599,1181.1794,566.1949,1177.4751,560.6444,0.5357537617286047,0.6014948487281799,6
tuned,205,truck,9.3,419.96666666666664,410.66666666666663,279,12599,851.0265,588.19226,850.1898,589.8834,0.35395993292331696,0.4130125939846039,2
tuned,220,car,14.033333333333333,15.1,1.0666666666666664,421,453,958.5958,560.23865,949.41504,599.20135,0.5762018915265799,0.7480441927909851,32
tuned,229,car,32.3,38.63333333333333,6.333333333333336,969,1159,1255.3744,560.3956,1257.4391,599.81335,0.7174528325858869,0.7821208238601685,190
tuned,229,car,40.13333333333333,41.5,1.3666666666666671,1204,1245,1257.1654,594.4542,1258.0127,560.2224,0.7090004026889801,0.767964243888855,40
tuned,235,car,13.466666666666667,14.4,0.9333333333333336,404,432,1142.269,599.907,1132.9823,560.4228,0.7303350503955569,0.8158966302871704,28
tuned,249,car,14.133333333333333,15.433333333333334,1.3000000000000007,424,463,1208.0493,598.76135,1180.0741,560.0132,0.6690447009526767,0.778080403804779,39
tuned,269,truck,19.733333333333334,20.666666666666668,0.9333333333333336,592,620,843.65955,560.12476,821.0807,595.3584,0.3534760134560721,0.5509271025657654,21
tuned,284,car,14.6,419.96666666666664,405.3666666666666,438,12599,955.5553,583.266,953.9913,586.97253,0.4329986075560252,0.5717465281486511,6
tuned,287,car,14.933333333333334,419.96666666666664,405.0333333333333,448,12599,950.85645,593.33484,950.85645,593.33484,0.3590180575847626,0.3590180575847626,1
tuned,288,car,17.0,18.5,1.5,510,555,1209.0613,599.2528,1191.2004,560.85,0.6664924396408929,0.720532238483429,45
tuned,289,car,18.533333333333335,19.8,1.2666666666666657,556,594,1164.145,599.6501,1152.2312,560.14105,0.576325071485419,0.735122561454773,38
tuned,297,car,18.866666666666667,20.1,1.2333333333333343,566,603,1113.6223,598.57825,1097.5305,560.5802,0.7029316876385663,0.7936921715736389,37
tuned,309,truck,22.9,23.766666666666666,0.8666666666666671,687,713,862.8121,560.7074,843.39923,599.264,0.767754655617934,0.8431714177131653,26
tuned,333,car,39.8,41.13333333333333,1.3333333333333357,1194,1234,1185.3871,599.9752,1161.9398,560.08496,0.7279420383274555,0.8050550818443298,40
tuned,366,car,23.6,24.533333333333335,0.9333333333333336,708,736,881.923,560.56085,848.7088,599.10376,0.5190073496529034,0.6816987991333008,28
tuned,402,car,24.433333333333334,25.533333333333335,1.1000000000000014,733,766,1144.2534,599.9675,1119.1997,560.27893,0.7997671871474294,0.8268852829933167,33
tuned,405,car,24.933333333333334,26.133333333333333,1.1999999999999993,748,784,1095.7072,598.9785,1085.4597,560.7807,0.7129118707444932,0.7464714050292969,36
tuned,424,car,27.1,28.0,0.8999999999999986,813,840,845.78735,565.2719,823.7429,599.5277,0.43412941851113973,0.6715239882469177,19
tuned,457,car,33.36666666666667,34.9,1.5333333333333314,1001,1047,873.6446,560.2731,857.10516,599.6248,0.4907027806924737,0.6087800860404968,46
tuned,460,car,28.133333333333333,29.6,1.4666666666666686,844,888,1154.3853,599.8441,1142.0002,560.04614,0.5732750621708956,0.6979031562805176,44
tuned,461,car,30.766666666666666,31.766666666666666,1.0,923,953,873.49,560.05835,847.4686,599.4855,0.43097529888153074,0.6793413758277893,25
tuned,484,car,31.8,32.8,0.9999999999999964,954,984,928.29504,560.65845,917.94696,598.4976,0.8310147007306417,0.8402276039123535,30
tuned,498,car,33.86666666666667,35.233333333333334,1.3666666666666671,1016,1057,943.1282,560.5469,935.4391,599.60803,0.601567746662512,0.6738706827163696,41
tuned,523,car,31.466666666666665,419.96666666666664,388.5,944,12599,854.3948,586.652,854.3948,586.652,0.3617660701274872,0.3617660701274872,1
tuned,538,car,36.0,38.06666666666667,2.06666666666667,1080,1142,1095.5564,599.7832,1087.9539,560.526,0.8276070942801814,0.8558983206748962,62
tuned,538,car,38.5,39.233333333333334,0.7333333333333343,1155,1177,1083.8479,560.46545,1079.0378,561.39465,0.8172492249445482,0.8286512494087219,22
tuned,567,truck,33.4,419.96666666666664,386.56666666666666,1002,12599,873.7468,561.7283,873.0109,564.34033,0.3379216343164444,0.40698039531707764,4
tuned,583,car,36.56666666666667,38.06666666666667,1.5,1097,1142,934.6019,560.8075,924.7294,598.15906,0.39424112855001936,0.6020597219467163,43
tuned,583,car,42.53333333333333,42.7,0.1666666666666714,1276,1281,786.44037,596.49,775.6333,564.57513,0.8141034603118896,0.8400965929031372,5
tuned,583,car,43.03333333333333,43.3,0.2666666666666657,1291,1299,743.21875,560.964,714.94995,599.5115,0.8886808454990387,0.9088553190231323,8
tuned,588,car,39.06666666666667,40.166666666666664,1.0999999999999943,1172,1205,1099.8147,599.7278,1090.0159,562.1007,0.5963102091442455,0.7256376147270203,33
tuned,599,car,37.266666666666666,38.4,1.1333333333333329,1118,1152,898.3262,560.7905,863.4554,599.42944,0.4665879686089123,0.6949396729469299,34
tuned,617,car,36.2,36.3,0.09999999999999432,1086,1089,1261.9363,561.1189,1261.9153,560.16174,0.34252744913101196,0.3761448562145233,3
tuned,617,car,36.833333333333336,419.96666666666664,383.1333333333333,1105,12599,1261.0859,560.37134,1258.1118,579.6659,0.3532109475798077,0.712614119052887,54
tuned,631,truck,37.2,419.96666666666664,382.76666666666665,1116,12599,930.0769,578.1422,929.9591,580.82605,0.2786543846130371,0.32713782787323,5
tuned,645,car,39.2,41.93333333333333,2.733333333333327,1176,1258,938.45465,560.68475,906.74414,563.13104,0.4928662416996894,0.7990817427635193,77
tuned,645,car,45.666666666666664,46.03333333333333,0.36666666666666714,1370,1381,723.12585,562.2477,687.3015,594.4071,0.5900809060443531,0.8564439415931702,11
tuned,650,car,37.6,419.96666666666664,382.3666666666666,1128,12599,927.3775,588.2402,925.92633,594.14435,0.32492347061634064,0.3500630855560303,8
tuned,656,truck,38.13333333333333,419.96666666666664,381.8333333333333,1144,12599,871.6655,588.1188,868.0625,591.6529,0.3082925155758858,0.3372885584831238,4
tuned,658,bicycle,38.2,419.96666666666664,381.76666666666665,1146,12599,818.1571,560.08954,828.18164,588.116,0.40852339193224907,0.5394739508628845,32
tuned,728,car,42.166666666666664,42.233333333333334,0.06666666666666998,1265,1267,1197.3197,586.29486,1197.3197,586.29486,0.46654200553894043,0.46654200553894043,1
tuned,736,car,42.166666666666664,42.233333333333334,0.06666666666666998,1265,1267,1110.9244,589.35626,1110.1139,574.8331,0.849584311246872,0.8501095175743103,2
tuned,737,truck,41.43333333333333,419.96666666666664,378.5333333333333,1243,12599,914.65283,571.443,914.65283,571.443,0.3195958733558655,0.3195958733558655,1
tuned,739,car,42.233333333333334,42.333333333333336,0.10000000000000142,1267,1270,1221.326,595.6312,1218.4192,566.00934,0.4645630419254303,0.6000698208808899,3
tuned,743,car,41.6,419.96666666666664,378.3666666666666,1248,12599,913.1321,571.00836,912.7815,571.5846,0.35744400322437286,0.36952435970306396,2
tuned,755,car,42.6,42.766666666666666,0.1666666666666643,1278,1283,575.8895,592.36804,551.4303,560.59174,0.8268939852714539,0.8661196827888489,5
tuned,755,car,42.96666666666667,43.266666666666666,0.29999999999999716,1289,1298,511.46826,560.7306,447.3509,599.99866,0.8871392673916287,0.9128586053848267,9
tuned,783,truck,50.46666666666667,50.8,0.3333333333333286,1514,1524,739.2432,560.74054,698.3054,594.69446,0.5368704994519552,0.7963845133781433,9
tuned,803,car,46.333333333333336,46.8,0.46666666666666146,1390,1404,1246.1111,598.2914,1233.4109,562.9874,0.8473245458943504,0.8788657188415527,14
tuned,808,car,45.96666666666667,419.96666666666664,374.0,1379,12599,691.4967,589.86127,691.4967,589.86127,0.3617902100086212,0.3617902100086212,1
tuned,840,car,63.166666666666664,63.93333333333333,0.7666666666666657,1895,1918,790.9469,561.14954,755.3976,598.42175,0.8641017312588899,0.8759227395057678,23
tuned,842,keke,48.3,48.733333333333334,0.4333333333333371,1449,1462,1272.6246,591.13245,1262.4006,561.1068,0.5235346028437982,0.6687000393867493,13
tuned,855,car,56.63333333333333,57.4,0.7666666666666657,1699,1722,871.58875,562.35376,843.1895,598.1188,0.5327885821461678,0.7919689416885376,16
tuned,877,keke,48.666666666666664,419.96666666666664,371.29999999999995,1460,12599,1263.7566,563.3075,1263.7566,563.3075,0.3848554790019989,0.3848554790019989,1
tuned,882,car,63.86666666666667,64.66666666666667,0.8000000000000043,1916,1940,877.6078,560.7932,858.0384,599.8971,0.8530683865149816,0.8640611171722412,24
tuned,884,car,59.63333333333333,60.56666666666667,0.9333333333333371,1789,1817,797.30994,560.7288,753.71875,598.78406,0.5650332707625169,0.7707158327102661,26
tuned,900,bicycle,52.63333333333333,53.4,0.7666666666666657,1579,1602,710.9508,570.7607,698.5007,599.7726,0.3268458909458584,0.46713975071907043,9
tuned,924,car,52.3,53.46666666666667,1.1666666666666714,1569,1604,1267.1555,593.7597,1247.8391,560.28864,0.7054548536028181,0.816139817237854,35
tuned,987,truck,57.166666666666664,58.233333333333334,1.06666666666667,1715,1747,1208.0015,598.7334,1159.6545,561.16626,0.5192580819129944,0.6987270712852478,30
tuned,1017,car,60.2,61.1,0.8999999999999986,1806,1833,1171.8192,598.26465,1147.872,560.90906,0.622575887120687,0.7646243572235107,26
tuned,1041,car,59.266666666666666,64.73333333333333,5.466666666666669,1778,1942,1272.2855,595.17615,1267.4075,599.75586,0.64457564837322,0.7250147461891174,164
tuned,1041,car,77.3,79.2,1.9000000000000057,2319,2376,1257.9557,593.397,1259.8416,561.6187,0.5693183513574822,0.7339860200881958,43
tuned,1041,car,79.6,419.96666666666664,340.3666666666667,2388,12599,1261.5929,563.5085,1250.3289,574.4946,0.32070852518081666,0.3974432945251465,10
tuned,1053,car,60.2,419.96666666666664,359.76666666666665,1806,12599,1171.8005,598.9874,1166.1877,592.0017,0.40537654161453246,0.5579708814620972,5
tuned,1064,truck,67.6,68.66666666666667,1.066666666666677,2028,2060,797.31335,560.46216,784.35034,586.84644,0.4285544753074646,0.6340165734291077,26
tuned,1068,car,66.9,67.6,0.6999999999999886,2007,2028,849.47327,561.30444,825.5631,598.936,0.7993416786193848,0.855883002281189,21
tuned,1089,motorcycle,65.4,419.96666666666664,354.5666666666666,1962,12599,721.73096,561.47437,714.09375,591.8292,0.4282706074598359,0.604103684425354,82
