model,track_id,class,enter_time_s,exit_time_s,duration_s,enter_frame,exit_frame,enter_cx,enter_cy,exit_cx,exit_cy,avg_conf_in_region,max_conf_in_region,frames_in_region
tuned,1,keke,0.0,0.26666666666666666,0.26666666666666666,0,8,170.35764,368.49835,130.62666,397.3141,0.9216282665729523,0.9257017970085144,8
tuned,2,keke,2.1,2.1333333333333333,0.033333333333333215,63,64,894.60095,399.83524,894.60095,399.83524,0.33730754256248474,0.33730754256248474,1
tuned,2,keke,3.0,4.5,1.5,90,135,884.3434,399.1746,880.9313,392.6267,0.3844622789007245,0.5437120795249939,33
tuned,2,keke,6.2,7.366666666666666,1.166666666666666,186,221,842.19,399.7259,839.4158,360.1023,0.7377170954431806,0.8132790923118591,35
tuned,3,car,0.7333333333333333,4.533333333333333,3.8,22,136,964.8103,360.25424,996.50684,397.32224,0.7169005954474733,0.8360660076141357,114
tuned,4,keke,3.5,3.933333333333333,0.4333333333333331,105,118,223.69418,362.81824,183.46097,397.26093,0.9177315005889306,0.9287365078926086,13
tuned,5,car,1.7666666666666666,2.1666666666666665,0.3999999999999999,53,65,248.50787,360.60864,214.0899,396.20093,0.8518392890691757,0.8682275414466858,12
tuned,9,keke,0.7,600.7,600.0,21,18021,880.9386,364.60132,881.11145,374.38147,0.5505161481244224,0.7218843698501587,35
tuned,10,car,4.9,5.633333333333334,0.7333333333333334,147,169,475.05624,361.42365,468.4056,399.85632,0.8146023425188932,0.8502230048179626,22
tuned,11,car,8.0,9.133333333333333,1.1333333333333329,240,274,817.13257,398.767,808.37177,360.34296,0.6308613077682608,0.7860052585601807,34
tuned,19,keke,3.7,4.066666666666666,0.36666666666666625,111,122,296.68213,360.85483,265.7072,396.99884,0.911812343380668,0.920690655708313,11
tuned,21,keke,7.533333333333333,8.3,0.7666666666666675,226,249,219.50116,360.8346,124.13876,398.77264,0.9159043768177861,0.926851749420166,23
tuned,32,car,2.2,600.7,598.5,66,18021,883.3444,364.99527,884.05383,366.8349,0.37728561758995055,0.4756864011287689,10
tuned,45,car,8.4,10.5,2.0999999999999996,252,315,944.19604,399.74805,912.16205,360.4322,0.5331100152598487,0.7913536429405212,45
tuned,78,car,7.666666666666667,8.466666666666667,0.7999999999999998,230,254,856.5084,398.80865,828.7207,362.80127,0.7560144407408578,0.795911967754364,21
tuned,88,bus,7.066666666666666,8.633333333333333,1.5666666666666664,212,259,912.1272,396.4992,906.1211,360.76807,0.4465056651168399,0.6817367076873779,45
tuned,110,car,7.2,7.6,0.39999999999999947,216,228,336.11926,360.17627,277.53058,396.61334,0.842308983206749,0.858674168586731,12
tuned,124,keke,15.866666666666667,16.266666666666666,0.3999999999999986,476,488,206.14697,362.52252,149.03041,397.64417,0.9188644389311472,0.9221522808074951,12
tuned,136,car,10.666666666666666,11.266666666666667,0.6000000000000014,320,338,855.01404,399.14325,812.78,361.059,0.8417558868726095,0.8963650465011597,18
tuned,149,keke,14.433333333333334,14.666666666666666,0.2333333333333325,433,440,356.2323,361.44565,325.52417,394.06186,0.7896984645298549,0.8167613744735718,7
tuned,175,car,12.866666666666667,13.166666666666666,0.29999999999999893,386,395,761.7738,399.98663,735.3749,363.0483,0.8904254105356004,0.9110924601554871,9
tuned,180,car,14.133333333333333,600.7,586.5666666666667,424,18021,1049.2001,364.55478,1040.6542,378.5962,0.3692537287871043,0.6661530137062073,45
tuned,184,car,14.5,15.4,0.9000000000000004,435,462,916.30664,399.06326,865.9838,360.2546,0.5272437196511489,0.778857946395874,26
tuned,202,car,14.833333333333334,15.4,0.5666666666666664,445,462,838.49854,399.02823,793.68115,361.58597,0.7319179440245909,0.9004173874855042,17
tuned,242,car,19.266666666666666,19.466666666666665,0.1999999999999993,578,584,405.78546,365.26843,384.4408,398.99405,0.8406100074450175,0.8763142824172974,6
tuned,248,keke,19.866666666666667,20.166666666666668,0.3000000000000007,596,605,198.29895,363.81198,150.84555,399.07254,0.921886768605974,0.9316827654838562,9
tuned,250,car,16.666666666666668,17.166666666666668,0.5,500,515,805.74976,399.20834,758.7598,361.9615,0.8778258283933004,0.893693745136261,15
tuned,297,bus,18.833333333333332,19.233333333333334,0.40000000000000213,565,577,760.7117,398.1894,737.7247,360.45825,0.6261164595683416,0.7978719472885132,12
tuned,305,car,17.666666666666668,19.666666666666668,2.0,530,590,1016.3609,367.2625,1025.9353,360.00427,0.5657191156072819,0.7415493726730347,47
tuned,305,car,19.9,19.933333333333334,0.03333333333333499,597,598,1028.4055,360.15344,1028.4055,360.15344,0.6007500290870667,0.6007500290870667,1
tuned,305,car,20.733333333333334,22.0,1.2666666666666657,622,660,1017.0995,360.32404,1015.284,361.43335,0.5546891563817075,0.6628105044364929,38
tuned,305,car,22.1,22.233333333333334,0.13333333333333286,663,667,1011.9586,360.0266,1011.6395,360.13153,0.6446013748645782,0.6991936564445496,4
tuned,305,car,22.266666666666666,22.633333333333333,0.36666666666666714,668,679,1010.9159,360.27667,1012.9016,360.60614,0.6405639214949175,0.711414635181427,11
tuned,305,car,22.966666666666665,23.2,0.23333333333333428,689,696,1004.6902,360.07562,1005.9577,360.40503,0.7753362315041679,0.8059877753257751,7
tuned,305,car,23.366666666666667,23.433333333333334,0.06666666666666643,701,703,1004.4881,360.2057,1004.8106,360.01233,0.7133272290229797,0.7280436158180237,2
tuned,319,car,20.433333333333334,20.766666666666666,0.33333333333333215,613,623,696.63196,396.40405,682.31915,363.0982,0.782633799314499,0.8587895035743713,10
tuned,328,car,26.866666666666667,27.133333333333333,0.2666666666666657,806,814,469.3015,363.7673,457.12933,398.54645,0.810278631746769,0.8660115003585815,8
tuned,335,bus,20.466666666666665,600.7,580.2333333333333,614,18021,695.86475,394.96564,695.86475,394.96564,0.3457452654838562,0.3457452654838562,1
tuned,342,car,22.533333333333335,22.933333333333334,0.3999999999999986,676,688,812.5132,399.29086,772.1373,360.37085,0.8866270780563354,0.8981221318244934,12
tuned,345,car,25.233333333333334,25.533333333333335,0.3000000000000007,757,766,321.68005,362.0061,289.93768,396.4226,0.8541332085927328,0.8623898029327393,9
tuned,370,car,24.433333333333334,24.866666666666667,0.43333333333333357,733,746,887.64624,398.778,845.84534,360.9764,0.755700423167302,0.8772228956222534,13
tuned,404,car,28.766666666666666,29.233333333333334,0.46666666666666856,863,877,921.0332,398.90167,869.90076,360.23962,0.5566378895725522,0.7485297322273254,14
tuned,405,car,29.166666666666668,29.5,0.33333333333333215,875,885,798.0302,396.41296,769.48364,360.95093,0.8690657615661621,0.8775609731674194,10
tuned,412,car,29.1,29.333333333333332,0.23333333333333073,873,880,694.3151,397.33612,681.92725,363.02527,0.8711251105581012,0.8772978782653809,7
tuned,428,car,29.9,30.133333333333333,0.23333333333333428,897,904,676.58923,394.26004,665.2709,361.39713,0.8714721287999835,0.8811616897583008,7
tuned,449,car,32.0,32.43333333333333,0.43333333333333,960,973,851.36993,397.16586,818.28265,360.36304,0.8868245711693397,0.9071622490882874,13
tuned,456,car,35.5,36.03333333333333,0.5333333333333314,1065,1081,194.48798,362.442,141.33255,398.42664,0.8392685316503048,0.8840040564537048,16
tuned,465,keke,36.86666666666667,37.2,0.3333333333333357,1106,1116,254.02904,363.11664,217.71124,396.51562,0.9135038793087006,0.9283197522163391,10
tuned,477,car,34.96666666666667,35.36666666666667,0.3999999999999986,1049,1061,865.0653,399.72662,821.66077,361.4143,0.7792955736319224,0.8947990536689758,12
tuned,525,keke,41.03333333333333,41.36666666666667,0.3333333333333357,1231,1241,202.0279,362.6854,150.1099,399.4509,0.9243399441242218,0.9322715997695923,10
tuned,528,car,35.93333333333333,36.13333333333333,0.20000000000000284,1078,1084,689.55396,398.54248,676.4538,361.55264,0.8699788252512614,0.8763809204101562,6
tuned,532,car,36.766666666666666,37.166666666666664,0.3999999999999986,1103,1115,884.20386,398.41638,847.3862,361.13562,0.7754456698894501,0.8562928438186646,12
tuned,547,car,37.86666666666667,38.06666666666667,0.20000000000000284,1136,1142,693.396,392.9416,682.34424,361.47955,0.8720336258411407,0.8769615292549133,6
tuned,553,car,39.266666666666666,39.7,0.4333333333333371,1178,1191,839.859,399.84875,806.4242,361.636,0.8792075514793396,0.8951259255409241,13
tuned,569,motorcycle,41.4,41.766666666666666,0.36666666666666714,1242,1253,809.0875,398.08023,778.3562,361.0889,0.8194753961129622,0.8757140040397644,11
tuned,574,keke,42.666666666666664,43.46666666666667,0.8000000000000043,1280,1304,988.4227,398.77017,923.3962,361.06512,0.48740687327725546,0.6639047861099243,14
tuned,583,car,42.6,42.86666666666667,0.2666666666666657,1278,1286,357.34125,361.7964,325.70404,396.51178,0.8384454920887947,0.8513163328170776,8
tuned,584,car,43.233333333333334,43.5,0.2666666666666657,1297,1305,396.01123,360.56232,374.90173,397.67767,0.7685583606362343,0.7997413873672485,8
tuned,592,car,41.86666666666667,42.166666666666664,0.29999999999999716,1256,1265,686.1196,399.91254,673.1085,363.69244,0.8631823923852708,0.8754401803016663,9
tuned,593,keke,44.53333333333333,44.9,0.36666666666666714,1336,1347,163.22804,360.80344,106.612305,397.41617,0.9180912646380338,0.9265406131744385,11
tuned,597,keke,43.733333333333334,44.86666666666667,1.1333333333333329,1312,1346,946.8114,399.74286,883.71716,360.18347,0.5906894443666234,0.7889375686645508,34
tuned,599,car,42.5,42.9,0.3999999999999986,1275,1287,849.7627,398.37592,813.62585,361.50372,0.6918713053067526,0.8596746325492859,12
tuned,622,car,43.43333333333333,43.9,0.46666666666666856,1303,1317,876.4786,399.93637,828.4591,361.39264,0.5681880414485931,0.8458549380302429,14
tuned,665,car,43.8,600.7,556.9000000000001,1314,18021,943.1438,396.6756,943.1438,396.6756,0.37694379687309265,0.37694379687309265,1
tuned,676,car,46.96666666666667,47.2,0.23333333333333428,1409,1416,303.39188,362.66116,262.6008,394.2345,0.8614217809268406,0.8770049810409546,7
tuned,687,keke,49.03333333333333,49.4,0.36666666666666714,1471,1482,228.30684,361.20767,181.13159,397.35614,0.9128142324360934,0.9215016961097717,11
tuned,690,car,52.266666666666666,52.8,0.5333333333333314,1568,1584,220.3032,360.34528,173.0266,399.39984,0.8533021956682205,0.8846137523651123,16
tuned,692,car,47.46666666666667,47.7,0.23333333333333428,1424,1431,693.21436,395.3297,679.4594,363.37524,0.8641052331243243,0.8749392628669739,7
tuned,695,keke,48.03333333333333,48.43333333333333,0.3999999999999986,1441,1453,909.38226,397.01813,862.8141,361.242,0.8284514347712199,0.8683791160583496,12
tuned,711,keke,49.666666666666664,50.03333333333333,0.36666666666666714,1490,1501,199.25662,362.45682,148.93872,397.34613,0.9199541102756154,0.9255533814430237,11
tuned,725,car,51.36666666666667,51.733333333333334,0.36666666666666714,1541,1552,325.48785,360.37408,283.94516,399.142,0.8445687131448225,0.8803166747093201,11
tuned,731,keke,55.43333333333333,55.766666666666666,0.3333333333333357,1663,1673,171.10744,361.2387,119.85965,396.55524,0.9207699000835419,0.930336594581604,10
tuned,733,keke,56.06666666666667,56.4,0.3333333333333286,1682,1692,217.98615,360.87552,171.4317,396.7436,0.9297049105167389,0.9368941187858582,10
tuned,741,car,60.0,60.3,0.29999999999999716,1800,1809,431.0999,361.58575,412.24384,397.40802,0.8790135780970255,0.8890855312347412,9
tuned,742,keke,52.86666666666667,53.2,0.3333333333333357,1586,1596,851.73175,398.8092,814.9591,363.1078,0.8973747432231903,0.9191858768463135,10
tuned,747,keke,53.4,53.8,0.3999999999999986,1602,1614,935.38367,398.6823,886.41223,362.86374,0.9159871240456899,0.934398889541626,12
tuned,781,car,56.166666666666664,56.53333333333333,0.36666666666666714,1685,1696,906.72534,397.15253,866.3237,361.58264,0.8825583891435103,0.8943883776664734,11
tuned,782,car,59.4,60.766666666666666,1.3666666666666671,1782,1823,1078.8947,397.7144,982.6073,360.13654,0.8955289009140759,0.9118723273277283,41
tuned,811,car,57.233333333333334,57.46666666666667,0.23333333333333428,1717,1724,705.52936,397.56735,691.50323,362.09064,0.8724036642483303,0.876435399055481,7
tuned,836,car,59.0,59.3,0.29999999999999716,1770,1779,855.32886,399.6579,820.6676,363.94626,0.9077844222386678,0.9142916798591614,9
tuned,848,keke,62.733333333333334,63.03333333333333,0.29999999999999716,1882,1891,204.02972,360.05908,156.05376,395.5659,0.9284486638175117,0.9321532845497131,9
tuned,849,car,61.36666666666667,61.733333333333334,0.36666666666666714,1841,1852,773.88776,398.94745,745.61865,361.81287,0.8812668702819131,0.8885245323181152,11
tuned,850,car,61.63333333333333,61.9,0.2666666666666657,1849,1857,301.04456,360.00812,258.76108,396.4604,0.831216000020504,0.864351749420166,8
tuned,853,keke,65.46666666666667,65.96666666666667,0.5,1964,1979,170.0686,360.60626,114.542755,397.75336,0.9248539884885152,0.930715024471283,15
tuned,854,car,63.333333333333336,63.7,0.36666666666666714,1900,1911,837.40186,397.023,799.4037,360.03058,0.6461693265221335,0.8361800909042358,11
tuned,877,car,67.46666666666667,67.93333333333334,0.46666666666666856,2024,2038,836.6531,398.1139,820.7654,361.42465,0.8795193561485836,0.8908620476722717,14
tuned,881,car,68.23333333333333,68.53333333333333,0.29999999999999716,2047,2056,313.5275,363.0979,290.94748,397.23807,0.6350572639041476,0.8140501976013184,9
tuned,882,keke,72.96666666666667,73.43333333333334,0.46666666666666856,2189,2203,129.77391,360.6963,71.477295,397.57922,0.9175175130367279,0.9315556287765503,14
tuned,892,car,69.56666666666666,70.2,0.63333333333334,2087,2106,945.27637,399.50793,903.1753,360.6272,0.8828847157327753,0.9002977609634399,19
tuned,922,car,68.33333333333333,600.7,532.3666666666667,2050,18021,305.34058,374.84454,300.54346,382.9583,0.45017088452974957,0.4623384177684784,3
tuned,923,truck,68.33333333333333,600.7,532.3666666666667,2050,18021,305.1599,374.493,305.1599,374.493,0.37730246782302856,0.37730246782302856,1
tuned,924,truck,68.5,68.53333333333333,0.03333333333333144,2055,2056,290.8819,397.96173,290.8819,397.96173,0.46262192726135254,0.46262192726135254,1
tuned,929,keke,79.16666666666667,79.56666666666666,0.3999999999999915,2375,2387,191.13606,360.48648,138.23221,399.94177,0.9253453811009725,0.932711660861969,12
tuned,941,car,71.3,71.7,0.4000000000000057,2139,2151,767.44794,399.39294,736.4473,362.2179,0.882008875409762,0.8946782350540161,12
tuned,964,car,74.3,74.63333333333334,0.3333333333333428,2229,2239,847.5271,396.76797,812.2544,360.5874,0.9048252284526825,0.9154852628707886,10
tuned,965,car,74.83333333333333,75.23333333333333,0.4000000000000057,2245,2257,911.9603,399.95996,866.6527,362.41553,0.8930036872625351,0.918639600276947,12
tuned,989,keke,85.8,86.13333333333334,0.3333333333333428,2574,2584,185.39026,361.55225,133.36546,398.06564,0.9228365540504455,0.9315048456192017,10
tuned,1014,keke,88.7,89.03333333333333,0.3333333333333286,2661,2671,146.99008,362.41425,97.61389,396.4635,0.9245371282100677,0.9291121363639832,10
tuned,1022,car,83.83333333333333,84.16666666666667,0.3333333333333428,2515,2525,871.8482,399.2782,834.2137,362.5846,0.8588215827941894,0.908517062664032,10
tuned,1038,car,86.0,86.23333333333333,0.23333333333333428,2580,2587,340.46857,362.60947,314.7945,395.36523,0.7977006946291242,0.8482800126075745,7
tuned,1045,keke,85.4,85.76666666666667,0.36666666666666003,2562,2573,901.64966,396.44617,863.1437,361.53607,0.6638204265724529,0.8535520434379578,11
tuned,1048,keke,85.13333333333334,85.53333333333333,0.3999999999999915,2554,2566,971.47546,397.73917,920.58044,360.5334,0.8003383030494055,0.874665379524231,12
tuned,1067,car,87.5,87.86666666666666,0.36666666666666003,2625,2636,851.7779,399.98035,814.2468,361.512,0.9088352485136553,0.9191849827766418,11
tuned,1071,car,88.33333333333333,88.66666666666667,0.3333333333333428,2650,2660,903.3512,396.35144,865.4709,361.11646,0.9114493668079376,0.927156925201416,10
tuned,1077,car,89.13333333333334,89.56666666666666,0.4333333333333229,2674,2687,939.2438,398.96405,891.7578,361.94174,0.8850723688419049,0.9147925972938538,13
tuned,1082,keke,97.7,98.03333333333333,0.3333333333333286,2931,2941,136.50209,360.83002,79.5771,399.1886,0.9298456490039826,0.9386811852455139,10
tuned,1086,keke,91.1,91.5,0.4000000000000057,2733,2745,914.8328,398.2436,875.3004,363.23798,0.9078859885533651,0.9212446808815002,12
tuned,1096,car,92.16666666666667,92.53333333333333,0.36666666666666003,2765,2776,873.60925,395.9641,833.673,360.29303,0.8838226144964044,0.9096912741661072,11
tuned,1104,car,93.6,93.83333333333333,0.23333333333333428,2808,2815,762.719,398.06274,737.1204,364.8612,0.8800312961850848,0.8852434158325195,7
tuned,1105,car,98.8,99.1,0.29999999999999716,2964,2973,425.55872,361.61932,404.0684,399.37732,0.7787005172835456,0.8364229798316956,9
tuned,1107,keke,94.73333333333333,95.36666666666666,0.6333333333333258,2842,2861,983.65015,398.5641,932.46313,361.03983,0.8844503164291382,0.9247004389762878,19
tuned,1124,car,95.3,95.56666666666666,0.2666666666666657,2859,2867,818.12256,398.65225,787.0912,363.94574,0.8987628668546677,0.909797728061676,8
tuned,1128,car,95.46666666666667,95.66666666666667,0.20000000000000284,2864,2870,690.36414,393.71497,677.0836,362.53058,0.8735270301500956,0.8844517469406128,6
tuned,1144,keke,98.03333333333333,98.76666666666667,0.7333333333333343,2941,2963,1026.4595,399.77655,966.3574,360.99948,0.7345179156823591,0.9066420793533325,22
tuned,1153,keke,99.13333333333334,99.43333333333334,0.29999999999999716,2974,2983,863.8208,399.70868,829.13086,363.96124,0.8436888390117221,0.9036990404129028,9
tuned,1162,car,102.26666666666667,102.46666666666667,0.20000000000000284,3068,3074,329.7229,362.049,299.94016,397.8366,0.8762874205907186,0.8846812844276428,6
tuned,1168,car,110.26666666666667,110.53333333333333,0.2666666666666657,3308,3316,274.18872,361.80798,232.2956,397.47583,0.8425780385732651,0.8725314140319824,8
tuned,1172,keke,107.83333333333333,108.13333333333334,0.30000000000001137,3235,3244,119.63712,360.68958,59.435307,395.78625,0.9263669186168246,0.9317308068275452,9
tuned,1176,bus,102.8,103.06666666666666,0.2666666666666657,3084,3092,814.22675,396.71387,788.0623,362.9406,0.7523798570036888,0.8609358668327332,8
tuned,1184,car,103.96666666666667,104.36666666666666,0.3999999999999915,3119,3131,926.5321,397.32867,881.452,361.73016,0.8993174384037653,0.9091178774833679,12
tuned,1197,bus,102.83333333333333,600.7,497.86666666666673,3085,18021,811.0652,394.04193,811.0652,394.04193,0.5590286254882812,0.5590286254882812,1
tuned,1241,car,106.83333333333333,107.06666666666666,0.23333333333333428,3205,3212,707.261,397.83725,691.346,363.81668,0.8894966585295541,0.898459792137146,7
tuned,1242,car,113.53333333333333,113.7,0.1666666666666714,3406,3411,429.1671,365.9572,413.22205,394.99954,0.6534255504608154,0.821916401386261,5
tuned,1247,car,107.66666666666667,108.03333333333333,0.36666666666666003,3230,3241,880.01404,397.42572,843.09717,360.33206,0.8045176050879739,0.8478202819824219,11
tuned,1253,car,111.76666666666667,112.03333333333333,0.2666666666666657,3353,3361,271.58844,362.06186,229.31201,397.49936,0.8863521069288254,0.8974979519844055,8
tuned,1276,car,113.66666666666667,113.96666666666667,0.29999999999999716,3410,3419,271.4781,363.0359,233.48352,399.16824,0.8680816955036588,0.8819707632064819,9
tuned,1279,keke,111.8,112.1,0.29999999999999716,3354,3363,160.54419,363.25116,107.54787,397.20648,0.931415147251553,0.9356308579444885,9
tuned,1295,car,110.16666666666667,110.36666666666666,0.19999999999998863,3305,3311,697.32935,397.08768,685.32776,364.39,0.8790011902650198,0.883974552154541,6
