model,track_id,class,enter_time_s,exit_time_s,duration_s,enter_frame,exit_frame,enter_cx,enter_cy,exit_cx,exit_cy,avg_conf_in_region,max_conf_in_region,frames_in_region
tuned,1,keke,0.0,0.26666666666666666,0.26666666666666666,0,8,170.09616,366.73566,130.50005,397.70532,0.9565654247999191,0.9613173604011536,8
tuned,2,keke,3.066666666666667,4.066666666666666,0.9999999999999996,92,122,883.6638,399.83545,879.9599,394.22675,0.5418815229620252,0.7654982209205627,14
tuned,2,keke,6.2,7.333333333333333,1.1333333333333329,186,220,842.2498,399.29364,839.1083,360.68805,0.8416479440296397,0.8861207365989685,34
tuned,3,car,0.7333333333333333,4.533333333333333,3.8,22,136,975.9943,360.0171,995.0556,398.18292,0.7245667595089528,0.873645544052124,114
tuned,4,keke,0.6333333333333333,600.7,600.0666666666667,19,18021,881.4488,360.80026,879.68713,375.00107,0.546619500219822,0.8420885801315308,20
tuned,6,car,1.7666666666666666,2.1666666666666665,0.3999999999999999,53,65,248.63153,361.15347,213.73712,396.7423,0.917802150050799,0.9261587858200073,12
tuned,13,keke,3.5,3.933333333333333,0.4333333333333331,105,118,223.79558,362.71405,183.35086,397.66016,0.9526241742647611,0.957668125629425,13
tuned,19,keke,3.7,4.066666666666666,0.36666666666666625,111,122,296.4753,360.3875,265.89752,397.45932,0.9469891840761359,0.9552639126777649,11
tuned,36,car,8.033333333333333,9.2,1.166666666666666,241,276,816.57104,399.52814,807.8911,360.17227,0.48595474163691205,0.7820408344268799,30
tuned,53,keke,8.4,10.3,1.9000000000000004,252,309,945.006,399.70697,914.81445,367.93903,0.3947482470310096,0.7147754430770874,33
tuned,53,keke,10.5,10.6,0.09999999999999964,315,318,912.5171,360.18222,912.5171,360.18222,0.44175389409065247,0.44175389409065247,1
tuned,59,car,7.666666666666667,8.4,0.7333333333333334,230,252,855.96326,398.8548,821.9855,362.1953,0.6244883591478522,0.8064543008804321,22
tuned,68,car,4.9,5.633333333333334,0.7333333333333334,147,169,475.01724,361.17078,469.00504,399.64972,0.8634667802940715,0.9075372219085693,22
tuned,76,car,7.233333333333333,7.6,0.36666666666666625,217,228,332.1386,362.85553,277.8436,396.49738,0.7444821162657305,0.8576961755752563,11
tuned,78,keke,7.533333333333333,8.3,0.7666666666666675,226,249,219.12308,360.4052,123.924995,398.5144,0.9423021181769993,0.9532766938209534,23
tuned,87,keke,6.866666666666666,8.666666666666666,1.7999999999999998,206,260,914.19617,399.9241,905.5879,360.2268,0.47559555683817184,0.8143897652626038,35
tuned,97,car,10.666666666666666,11.3,0.6333333333333346,320,339,854.4418,398.94244,810.49207,360.4677,0.4032992422580719,0.553318977355957,13
