model,track_id,class,enter_time_s,exit_time_s,duration_s,enter_frame,exit_frame,enter_cx,enter_cy,exit_cx,exit_cy,avg_conf_in_region,max_conf_in_region,frames_in_region
default,1,car,1.7666666666666666,2.1666666666666665,0.3999999999999999,53,65,248.47572,361.5193,214.05646,398.5241,0.9016354034344355,0.9194808006286621,12
default,3,car,4.9,5.6,0.6999999999999993,147,168,475.45648,361.89868,469.60617,397.9615,0.8683064182599386,0.9052437543869019,21
default,8,car,0.7,4.533333333333333,3.833333333333333,21,136,976.8013,361.43295,996.7937,397.28177,0.5493661903332328,0.7478001117706299,107
default,10,car,2.7,2.7333333333333334,0.033333333333333215,81,82,884.3787,399.5373,884.3787,399.5373,0.4175882637500763,0.4175882637500763,1
default,10,car,3.0,4.5,1.5,90,135,883.99744,396.4872,881.1471,398.6927,0.5643225835429297,0.71975177526474,45
default,10,car,6.2,7.3,1.0999999999999996,186,219,842.2034,399.27472,838.75555,360.59872,0.42797761674850215,0.6774069666862488,31
default,13,truck,0.0,0.26666666666666666,0.26666666666666666,0,8,171.05559,365.91217,131.39188,396.7656,0.43545956909656525,0.4873250722885132,8
default,14,truck,0.6333333333333333,600.7,600.0666666666667,19,18021,881.54517,360.97266,879.1734,367.7337,0.5101510298018362,0.8036473989486694,51
default,17,truck,3.7,4.1,0.39999999999999947,111,123,297.39136,360.47357,262.54108,399.79828,0.526922502300956,0.6146355271339417,11
default,21,car,0.0,600.7,600.7,0,18021,171.05559,365.91217,171.05559,365.91217,0.26457762718200684,0.26457762718200684,1
default,22,car,7.2,7.6,0.39999999999999947,216,228,337.00644,361.2112,277.47913,398.99823,0.877929707368215,0.9139664769172668,12
default,32,truck,7.533333333333333,8.3,0.7666666666666675,226,249,220.75653,360.24384,124.87319,397.67456,0.5102797329425812,0.662619948387146,20
default,40,truck,0.23333333333333334,600.7,600.4666666666667,7,18021,132.03654,396.38394,132.03654,396.38394,0.41815248131752014,0.41815248131752014,1
default,41,truck,3.5,3.966666666666667,0.4666666666666668,105,119,224.75536,361.34387,179.8977,398.28464,0.4385154864617756,0.6341093182563782,14
default,74,car,0.9333333333333333,600.7,599.7666666666668,28,18021,877.83105,379.97784,878.56256,380.75293,0.3376050690809886,0.41696104407310486,3
default,86,truck,1.1,600.7,599.6,33,18021,878.74365,381.72794,877.5547,381.83643,0.31541144847869873,0.3293969929218292,2
default,118,car,7.666666666666667,8.4,0.7333333333333334,230,252,855.98004,399.09958,817.6115,360.67252,0.7298577129840851,0.8218030333518982,21
default,144,car,1.9666666666666666,600.7,598.7333333333333,59,18021,968.063,381.56238,981.5191,379.73907,0.3974820578098297,0.6478902101516724,25
default,190,truck,2.7,2.7333333333333334,0.033333333333333215,81,82,884.65186,399.79083,884.65186,399.79083,0.3584150969982147,0.3584150969982147,1
default,222,car,8.4,10.2,1.799999999999999,252,306,945.61,399.68506,913.74927,366.578,0.5235319654896574,0.7944450974464417,53
default,222,car,10.633333333333333,10.733333333333333,0.09999999999999964,319,322,910.3711,360.40887,909.56433,360.6197,0.3376533587773641,0.3908899128437042,3
default,231,car,3.5,600.7,597.2,105,18021,225.12357,361.02148,218.08878,366.07172,0.33625027537345886,0.3680325150489807,2
default,240,car,3.7,600.7,597.0,111,18021,297.50336,360.30048,293.98132,363.2362,0.2955263555049896,0.3298068344593048,2
default,245,car,3.6666666666666665,600.7,597.0333333333334,110,18021,208.68414,376.35086,190.9331,389.6325,0.35506245493888855,0.46090635657310486,6
default,261,car,4.333333333333333,600.7,596.3666666666667,130,18021,888.43866,366.46655,890.2113,375.37372,0.328609898686409,0.42366570234298706,4
default,266,truck,3.966666666666667,600.7,596.7333333333333,119,18021,274.26886,388.03146,271.0033,392.18408,0.34923477470874786,0.39300212264060974,2
