epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,251.75,1.00237,1.21267,1.13115,0.67045,0.60669,0.65824,0.46651,1.05663,1.05365,1.16263,0.00333043,0.00333043,0.00333043
2,503.794,1.13972,1.22868,1.22168,0.63271,0.53004,0.57518,0.39602,1.22497,1.36076,1.27995,0.0065978,0.0065978,0.0065978
3,754.227,1.30501,1.51179,1.3318,0.55407,0.44905,0.46026,0.29446,1.44364,1.73657,1.47249,0.00979916,0.00979916,0.00979916
4,1003.16,1.38081,1.64076,1.39212,0.57205,0.45003,0.48223,0.31901,1.35828,1.61321,1.4113,0.009703,0.009703,0.009703
5,1248.17,1.31214,1.5245,1.35647,0.60319,0.52805,0.55883,0.37882,1.28298,1.3877,1.35197,0.009604,0.009604,0.009604
6,1485.04,1.27254,1.44211,1.32949,0.59276,0.52489,0.55493,0.38314,1.22095,1.3389,1.31773,0.009505,0.009505,0.009505
7,1721.85,1.23514,1.3699,1.30263,0.66453,0.56094,0.60718,0.42211,1.17936,1.2361,1.28522,0.009406,0.009406,0.009406
8,1958.61,1.20757,1.31256,1.28714,0.65459,0.57106,0.62296,0.43431,1.15527,1.20455,1.25986,0.009307,0.009307,0.009307
9,2195.4,1.18453,1.27589,1.2716,0.69049,0.56519,0.62775,0.44797,1.14642,1.18889,1.26143,0.009208,0.009208,0.009208
10,2432.26,1.16375,1.24387,1.25815,0.68074,0.59474,0.64417,0.455,1.12121,1.13997,1.23789,0.009109,0.009109,0.009109
11,2668.96,1.15452,1.21326,1.25402,0.69358,0.58832,0.65743,0.46819,1.09367,1.09193,1.21995,0.00901,0.00901,0.00901
12,2905.66,1.13841,1.18437,1.24047,0.69891,0.5968,0.66476,0.47319,1.10592,1.06993,1.22767,0.008911,0.008911,0.008911
13,3142.41,1.12131,1.1597,1.23553,0.70609,0.58169,0.6563,0.46761,1.08895,1.08109,1.22545,0.008812,0.008812,0.008812
14,3379.23,1.11671,1.14192,1.23174,0.72441,0.58926,0.66751,0.48021,1.06792,1.05247,1.20545,0.008713,0.008713,0.008713
15,3615.93,1.10249,1.1319,1.22349,0.70895,0.61716,0.67533,0.48231,1.05731,1.03213,1.19717,0.008614,0.008614,0.008614
16,3852.68,1.09073,1.09921,1.21555,0.69199,0.63006,0.68096,0.49068,1.05724,1.02252,1.19687,0.008515,0.008515,0.008515
17,4089.56,1.08761,1.09534,1.21133,0.71735,0.62915,0.6901,0.49829,1.04217,0.99993,1.19216,0.008416,0.008416,0.008416
18,4326.31,1.08043,1.0798,1.21051,0.7141,0.64333,0.70414,0.51454,1.03273,0.97445,1.18285,0.008317,0.008317,0.008317
19,4563.11,1.06754,1.06218,1.20184,0.71196,0.63115,0.69924,0.51546,1.02639,0.97252,1.18454,0.008218,0.008218,0.008218
20,4799.95,1.06154,1.04844,1.19676,0.71434,0.64147,0.70611,0.52048,1.01493,0.95466,1.17172,0.008119,0.008119,0.008119
21,5036.72,1.05272,1.03607,1.19339,0.72777,0.64201,0.71339,0.52579,1.00984,0.94194,1.16623,0.00802,0.00802,0.00802
22,5273.42,1.05258,1.0268,1.19092,0.7368,0.65143,0.72093,0.53157,1.01038,0.93209,1.16934,0.007921,0.007921,0.007921
23,5509.96,1.04361,1.01539,1.18212,0.72343,0.64503,0.71726,0.52897,1.00731,0.91848,1.16336,0.007822,0.007822,0.007822
24,5746.48,1.03343,1.00098,1.17865,0.74243,0.64283,0.71789,0.53121,1.00362,0.91123,1.15595,0.007723,0.007723,0.007723
25,5983.05,1.03261,0.9934,1.17529,0.73502,0.64909,0.72876,0.5413,0.9961,0.89698,1.15356,0.007624,0.007624,0.007624
26,6219.62,1.03512,0.98452,1.18093,0.74433,0.64051,0.72452,0.53733,0.98727,0.90302,1.14979,0.007525,0.007525,0.007525
27,6456.23,1.01759,0.97573,1.16899,0.76304,0.64161,0.73085,0.54511,0.98216,0.88516,1.14641,0.007426,0.007426,0.007426
28,6692.7,1.01581,0.9654,1.16902,0.74441,0.65323,0.73244,0.5469,0.98068,0.88586,1.14393,0.007327,0.007327,0.007327
29,6929.32,1.01562,0.95153,1.16287,0.76007,0.64865,0.73366,0.54713,0.97871,0.87528,1.14606,0.007228,0.007228,0.007228
30,7165.81,1.01025,0.94948,1.16058,0.75407,0.64841,0.73089,0.54396,0.98062,0.87198,1.14572,0.007129,0.007129,0.007129
31,7402.43,1.00633,0.94394,1.16219,0.75109,0.65558,0.73868,0.55199,0.973,0.86073,1.14524,0.00703,0.00703,0.00703
32,7638.92,0.99814,0.92734,1.15714,0.75079,0.65397,0.73887,0.55092,0.96942,0.86037,1.1442,0.006931,0.006931,0.006931
33,7875.43,0.99477,0.92673,1.15592,0.75575,0.65172,0.74008,0.55256,0.96966,0.85507,1.14288,0.006832,0.006832,0.006832
34,8111.95,0.98951,0.91826,1.15577,0.76239,0.65293,0.74245,0.55281,0.96503,0.85028,1.14169,0.006733,0.006733,0.006733
35,8348.42,0.99241,0.90914,1.15536,0.77021,0.64902,0.74271,0.55473,0.96852,0.84832,1.1421,0.006634,0.006634,0.006634
36,8585.04,0.98042,0.90139,1.14171,0.74123,0.66839,0.7464,0.55799,0.96546,0.84418,1.13803,0.006535,0.006535,0.006535
37,8821.75,0.98541,0.9023,1.1482,0.75602,0.66015,0.74664,0.56035,0.96161,0.84333,1.1367,0.006436,0.006436,0.006436
38,9058.42,0.97472,0.88974,1.13643,0.74391,0.67151,0.74847,0.55904,0.96501,0.84159,1.13637,0.006337,0.006337,0.006337
39,9295.04,0.97269,0.88427,1.13785,0.74917,0.66321,0.7512,0.56018,0.9625,0.83866,1.13597,0.006238,0.006238,0.006238
40,9531.64,0.9654,0.87148,1.14029,0.76898,0.65801,0.75189,0.56277,0.96279,0.83212,1.14077,0.006139,0.006139,0.006139
41,9768.19,0.96609,0.86873,1.13619,0.7676,0.66433,0.75156,0.56271,0.96342,0.83319,1.14063,0.00604,0.00604,0.00604
42,10004.7,0.95952,0.86282,1.13266,0.77367,0.6613,0.75504,0.56495,0.96173,0.83192,1.13813,0.005941,0.005941,0.005941
43,10241.3,0.95412,0.8473,1.124,0.77013,0.66222,0.75607,0.56655,0.95963,0.82668,1.13557,0.005842,0.005842,0.005842
44,10477.8,0.95142,0.84583,1.12465,0.77983,0.65555,0.75679,0.56677,0.95777,0.82533,1.13448,0.005743,0.005743,0.005743
45,10714.3,0.95097,0.84122,1.12279,0.77198,0.66095,0.75616,0.56677,0.95621,0.82702,1.13385,0.005644,0.005644,0.005644
46,10950.9,0.94839,0.83688,1.12453,0.76668,0.66861,0.75667,0.56781,0.95446,0.82646,1.13277,0.005545,0.005545,0.005545
47,11187.6,0.93943,0.82349,1.11881,0.76924,0.67067,0.75647,0.56748,0.95499,0.82602,1.13286,0.005446,0.005446,0.005446
48,11424,0.94015,0.82049,1.117,0.77292,0.66577,0.75722,0.56807,0.95515,0.8254,1.1335,0.005347,0.005347,0.005347
49,11660.5,0.93025,0.81797,1.11554,0.77503,0.66313,0.75715,0.56824,0.95504,0.82362,1.13447,0.005248,0.005248,0.005248
50,11897.1,0.93335,0.81335,1.11278,0.78006,0.65987,0.75802,0.56882,0.9559,0.82213,1.13629,0.005149,0.005149,0.005149
51,12133.6,0.92916,0.80416,1.11175,0.77776,0.66277,0.7596,0.57017,0.95497,0.82058,1.13599,0.00505,0.00505,0.00505
52,12370.2,0.92342,0.7986,1.11125,0.78907,0.65947,0.76012,0.5705,0.95439,0.82012,1.13579,0.004951,0.004951,0.004951
53,12606.7,0.92112,0.79035,1.10618,0.77866,0.66466,0.76052,0.57041,0.95446,0.8197,1.13559,0.004852,0.004852,0.004852
54,12843.2,0.92203,0.78354,1.09933,0.77928,0.66629,0.76069,0.57036,0.95431,0.81913,1.13516,0.004753,0.004753,0.004753
55,13079.8,0.91267,0.77979,1.10167,0.77979,0.66498,0.76059,0.57048,0.95335,0.81853,1.13453,0.004654,0.004654,0.004654
56,13316.3,0.91087,0.7745,1.09939,0.77839,0.66574,0.76109,0.57154,0.95261,0.81837,1.13463,0.004555,0.004555,0.004555
57,13552.8,0.90656,0.76726,1.09469,0.77571,0.66844,0.76205,0.57198,0.95231,0.81753,1.13458,0.004456,0.004456,0.004456
58,13789.3,0.90449,0.75777,1.09364,0.7699,0.67127,0.76254,0.57243,0.95164,0.8162,1.13402,0.004357,0.004357,0.004357
59,14026,0.89993,0.75162,1.09101,0.77249,0.66975,0.76304,0.57305,0.9507,0.81426,1.13342,0.004258,0.004258,0.004258
60,14262.7,0.89648,0.74591,1.0875,0.77863,0.66879,0.76285,0.57344,0.95051,0.81353,1.13282,0.004159,0.004159,0.004159
61,14499.2,0.89893,0.74821,1.09018,0.78058,0.66937,0.76289,0.57338,0.95066,0.81267,1.13333,0.00406,0.00406,0.00406
62,14735.7,0.89405,0.73315,1.0872,0.77916,0.67091,0.76308,0.57318,0.95012,0.81178,1.1334,0.003961,0.003961,0.003961
63,14972.2,0.88964,0.72561,1.08067,0.77648,0.67097,0.76271,0.57339,0.94996,0.8113,1.13278,0.003862,0.003862,0.003862
64,15208.8,0.88432,0.71973,1.07899,0.77804,0.66668,0.76307,0.57374,0.94953,0.81185,1.13204,0.003763,0.003763,0.003763
65,15445.3,0.88139,0.71442,1.07453,0.77849,0.66862,0.76324,0.57434,0.94956,0.81098,1.13188,0.003664,0.003664,0.003664
66,15681.8,0.87772,0.71104,1.07302,0.77885,0.67002,0.76367,0.57446,0.94911,0.81039,1.13129,0.003565,0.003565,0.003565
67,15918.5,0.87222,0.70219,1.07659,0.77965,0.66778,0.76312,0.57444,0.94983,0.81051,1.1321,0.003466,0.003466,0.003466
68,16155,0.86806,0.69916,1.07236,0.78083,0.66559,0.76306,0.57453,0.94943,0.81058,1.13199,0.003367,0.003367,0.003367
69,16391.6,0.86571,0.6919,1.06928,0.77777,0.66665,0.76269,0.57445,0.94955,0.80987,1.13228,0.003268,0.003268,0.003268
70,16628.2,0.85909,0.68329,1.06736,0.76786,0.6762,0.76329,0.57445,0.94947,0.80963,1.13211,0.003169,0.003169,0.003169
71,16864.8,0.85555,0.68165,1.06731,0.76724,0.67707,0.76396,0.57515,0.94933,0.80896,1.13238,0.00307,0.00307,0.00307
72,17101.3,0.85097,0.66985,1.06132,0.76501,0.67851,0.7644,0.57593,0.94844,0.80832,1.13187,0.002971,0.002971,0.002971
73,17337.8,0.84775,0.66406,1.0564,0.7631,0.6819,0.765,0.5762,0.94812,0.80816,1.13176,0.002872,0.002872,0.002872
74,17574.5,0.84441,0.65493,1.05218,0.76366,0.68283,0.76565,0.57645,0.94854,0.80826,1.13176,0.002773,0.002773,0.002773
75,17811.2,0.83945,0.6509,1.05264,0.7614,0.68335,0.76513,0.5764,0.94876,0.80789,1.13197,0.002674,0.002674,0.002674
76,18047.7,0.83934,0.64946,1.05224,0.75927,0.68493,0.76488,0.57599,0.94873,0.80743,1.13191,0.002575,0.002575,0.002575
77,18284.2,0.83501,0.64357,1.04852,0.75974,0.68505,0.76529,0.57632,0.94897,0.80758,1.13214,0.002476,0.002476,0.002476
78,18520.7,0.82876,0.6315,1.04409,0.75919,0.68457,0.765,0.57614,0.94871,0.80727,1.13206,0.002377,0.002377,0.002377
79,18757.1,0.8286,0.62762,1.04432,0.75809,0.68602,0.76525,0.57617,0.94898,0.80728,1.13239,0.002278,0.002278,0.002278
80,18993.6,0.82505,0.62491,1.04281,0.75834,0.68556,0.76512,0.57621,0.94929,0.80771,1.13265,0.002179,0.002179,0.002179
81,19230.1,0.81508,0.61221,1.0386,0.75974,0.68521,0.76525,0.57695,0.94977,0.80792,1.13299,0.00208,0.00208,0.00208
82,19466.8,0.81579,0.61456,1.04126,0.75844,0.68603,0.76523,0.57641,0.95013,0.80753,1.13333,0.001981,0.001981,0.001981
83,19703.3,0.80971,0.60053,1.03755,0.75655,0.68987,0.76538,0.57628,0.95082,0.80761,1.13392,0.001882,0.001882,0.001882
84,19939.8,0.80556,0.59795,1.03342,0.75443,0.69223,0.76555,0.57649,0.951,0.80784,1.13428,0.001783,0.001783,0.001783
85,20176.2,0.80335,0.59482,1.03502,0.75116,0.69477,0.76556,0.5766,0.95167,0.80804,1.13468,0.001684,0.001684,0.001684
86,20412.6,0.80146,0.58759,1.03303,0.75181,0.69618,0.76598,0.5772,0.95176,0.80794,1.1348,0.001585,0.001585,0.001585
87,20649.1,0.79094,0.58265,1.02789,0.75324,0.69524,0.76609,0.5773,0.95185,0.80811,1.13487,0.001486,0.001486,0.001486
88,20885.7,0.79192,0.57523,1.02573,0.75146,0.69601,0.76648,0.57771,0.95198,0.80817,1.13499,0.001387,0.001387,0.001387
89,21122.2,0.78509,0.56607,1.02054,0.74365,0.70183,0.76603,0.57738,0.95255,0.808,1.13547,0.001288,0.001288,0.001288
90,21358.7,0.78446,0.56305,1.01941,0.74874,0.69924,0.76595,0.57693,0.95294,0.80833,1.13575,0.001189,0.001189,0.001189
91,21594.9,0.77171,0.50369,0.99322,0.7433,0.70195,0.76584,0.57683,0.95306,0.80847,1.13602,0.00109,0.00109,0.00109
92,21830.6,0.76403,0.49105,0.98867,0.74321,0.70311,0.76571,0.57686,0.95361,0.80851,1.13676,0.000991,0.000991,0.000991
93,22066.4,0.75599,0.47863,0.98302,0.74971,0.69802,0.76564,0.57689,0.95383,0.80891,1.13706,0.000892,0.000892,0.000892
94,22302.1,0.75121,0.47541,0.97971,0.75504,0.69585,0.76544,0.57693,0.95443,0.80972,1.1375,0.000793,0.000793,0.000793
95,22537.9,0.74485,0.46524,0.97435,0.73925,0.7106,0.76544,0.57645,0.95464,0.81015,1.13774,0.000694,0.000694,0.000694
96,22773.6,0.74278,0.4609,0.97537,0.73586,0.71217,0.76529,0.57623,0.95569,0.81074,1.13866,0.000595,0.000595,0.000595
97,23009.3,0.73673,0.45432,0.97226,0.73456,0.7124,0.76472,0.57618,0.95623,0.81114,1.13926,0.000496,0.000496,0.000496
98,23245.1,0.7323,0.44998,0.97198,0.74011,0.70858,0.7645,0.5762,0.95679,0.81202,1.13977,0.000397,0.000397,0.000397
99,23480.7,0.72924,0.44232,0.96858,0.74198,0.70931,0.76473,0.57626,0.9574,0.81292,1.14041,0.000298,0.000298,0.000298
100,23716.4,0.72598,0.44146,0.96847,0.74449,0.70792,0.76436,0.57603,0.95808,0.81381,1.14109,0.000199,0.000199,0.000199
