epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,379.198,1.20938,1.81472,0.00651,0.71412,0.60025,0.68545,0.50051,1.16426,1.24901,0.00908,0.0099913,0.00333043,0.0099913,0.00333043,0.0099913,0.00333043,0.0099913,0.00333043
2,706.97,1.32126,1.46307,0.00769,0.66414,0.56756,0.61899,0.43536,1.31348,1.45691,0.01114,0.0197934,0.0065978,0.0197934,0.0065978,0.0197934,0.0065978,0.0197934,0.0065978
3,1014.4,1.45442,1.6653,0.00889,0.56908,0.52737,0.54967,0.36689,1.48471,1.67653,0.01354,0.0293975,0.00979916,0.0293975,0.00979916,0.0293975,0.00979916,0.0293975,0.00979916
4,1315.09,1.54459,1.7731,0.00972,0.59172,0.50442,0.54194,0.35516,1.45926,1.69603,0.01319,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
5,1617.42,1.51193,1.68752,0.00933,0.62991,0.5499,0.5834,0.39483,1.42077,1.57336,0.01262,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
6,1921.65,1.48166,1.61134,0.00903,0.6554,0.54426,0.59842,0.40823,1.37709,1.52835,0.01209,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
7,2225.45,1.46132,1.57043,0.00887,0.67722,0.56557,0.62441,0.4339,1.35472,1.44636,0.01178,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
8,2527.46,1.44064,1.52301,0.00868,0.69096,0.56844,0.6416,0.4489,1.33368,1.40733,0.01145,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307
9,2830.25,1.41947,1.48853,0.00854,0.70495,0.57378,0.64413,0.453,1.3209,1.37509,0.01131,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
10,3133.34,1.40928,1.46432,0.00839,0.68602,0.59698,0.65462,0.46571,1.29611,1.34977,0.01085,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109
11,3435.35,1.39599,1.43365,0.00824,0.70663,0.5927,0.66561,0.4738,1.29064,1.32052,0.01079,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
